node,configuration,direct_parents,program,entry_function,output_kind,required_state_cn,rule_cn,saved_folder,prices,factors,dividends,replay_start,complete_checkpoint_verified,restoration
WITHIN_CYCLE_SAVED_MODELS,config/510300_within_cycle_exit_v1.json,,research/within_cycle_exit_inputs_v1.py,within_cycle_prediction,SAVED_MODEL_ARTIFACT,141条原模型支持与系数记录、选择时点；最后模型为2026年8月3日,八项原持仓内退出因子；本项只接纳旧模型文件，不拟合；接续到九月时须区分固定旧模型诊断和按原月首规则新增成熟训练记录。,reports/research/510300_within_cycle_exit_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
ENTRY_VINTAGE_EXIT,config/510300_entry_vintage_exit_v1.json,WITHIN_CYCLE_SAVED_MODELS,research/rearmed_cycle_exit_account_v1.py,simulate_rearmed_exit,ACCOUNT_BOTH_COSTS,实际持仓周期、买入成本、周期高点和分红、退出等待、再入场许可、冷却日、首次买入模型身份、负预测计数,六十日日内强于隔夜信号入场；原价格退出、6%止损、8%追踪、最长六十日及连续两次负继续收益退出；每次实际买入首次收盘固定模型。,reports/research/510300_entry_vintage_exit_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
REALIZED_VOLATILITY20_MULTIPLIER,config/510300_conditional_variance_budget_v1.json,,research/conditional_variance_budget_inputs_v1.py,budget_frame,FACTOR_ONLY,最近一次有效普通波动乘数，初始为一,仅提取普通波动分支：二十日波动有效且为正时取一与10%除以波动的较小值；否则沿用最近乘数；不需要GARCH、109账户或其父账户。,reports/research/510300_conditional_variance_budget_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
VINTAGE_REFERENCE_RISK,config/510300_vintage_reference_risk_v1.json,ENTRY_VINTAGE_EXIT；REALIZED_VOLATILITY20_MULTIPLIER,research/vintage_reference_risk_inputs_v1.py,vintage_risk_targets,TARGET_ONLY,128的费用匹配零一意向、普通波动乘数,固定入场模型参考意向乘以普通二十日波动风险乘数；不依赖条件方差拟合。,reports/research/510300_vintage_reference_risk_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
DOWNSIDE_REFERENCE_RISK,config/510300_downside_reference_risk_v1.json,ENTRY_VINTAGE_EXIT,research/downside_reference_risk_inputs_v1.py,moment_reference_targets,ACCOUNT_BASE_TARGET_STRESS,基础账户净收益、费用匹配128意向及下行风险乘数,二十日负收益平方均值乘二再年化求风险，意向乘以不超过一的10%风险预算；压力仅需目标，基础账户供137风险使用。,reports/research/510300_downside_reference_risk_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
PANIC_ONLY,config/510300_continuous_reference_min_variance_v1.json,,research/simple_price_entry_exit_v1.py,simulate_policy,ACCOUNT_BASE_ONLY,持仓周期、退出等待、冷却日、成本及周期分红,五日跌幅超过5%后首日上涨、收盘位置至少60%、五日波动大于六十日1.5倍时进入；均值回归、4%止损、6%止盈或十日到期退出。,reports/research/510300_continuous_reference_min_variance_v1/continuous_references,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2013-06-03,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
RIDGE_SAVED_MODELS,config/510300_learned_cycle_exit_v1.json,,research/learned_cycle_exit_v1.py,predict,SAVED_MODEL_ARTIFACT,仅六十日日内来源的141条岭回归记录，最后模型为2026年8月3日,使用原八项持仓状态因子及已保存系数，不扩展到树或其他信号；九月月首模型尚未生成。,reports/research/510300_learned_cycle_exit_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
REARM_RIDGE_CONTINUOUS,config/510300_continuous_reference_min_variance_v1.json,RIDGE_SAVED_MODELS,research/rearmed_cycle_exit_account_v1.py,simulate_rearmed_exit,ACCOUNT_BASE_ONLY,持仓周期与退出等待、再入场许可、冷却日、周期分红与高点、最近模型及负预测计数,六十日日内强于隔夜入场和原价格风险退出，连续两次模型预测继续收益为负退出；每天使用当时已可用最近模型。,reports/research/510300_continuous_reference_min_variance_v1/continuous_references,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2013-06-03,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
CONTINUOUS_REFERENCE_MIN_VARIANCE,config/510300_continuous_reference_min_variance_v1.json,PANIC_ONLY；REARM_RIDGE_CONTINUOUS,research/continuous_reference_min_variance_v1.py,reference_factors,ACCOUNT_BASE_TARGET_STRESS,连续参考242日收益、方向和月首预算、基础实际账户,两个2013年起连续基础参考按月首已知242日历史更新最小方差预算；合成目标两费用相同，但137需要该策略基础账户的实际收益。,reports/research/510300_continuous_reference_min_variance_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
JOINT_DOWNSIDE_REFERENCE_PAIR,config/510300_joint_downside_reference_pair_v1.json,DOWNSIDE_REFERENCE_RISK；CONTINUOUS_REFERENCE_MIN_VARIANCE,research/joint_downside_reference_pair_inputs_v1.py,joint_downside_reference_frames,TARGET_ONLY,两父基础账户242日净收益、上次预算及月首更新时点,月首完整收盘只用过去242日两基础账户收益，最小化组合负收益平方；再合成对应费用的目标；不足窗口保持旧预算。,reports/research/510300_joint_downside_reference_pair_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
