node,cost,ledger,decisions,ledger_sha256,decisions_sha256,rows,replay_start,last_normal_date,shares_before_terminal,cash_before_terminal,receivable_before_terminal,normal_request,terminal_fill,complete_checkpoint_verified,restoration
CONFIRMED_RISK_EPISODE_30_10,BASE,reports\research\510300_confirmed_exit_existing_budget_batch_v1\evaluation\BASE\CONFIRMED_RISK_EPISODE_30_10_ledger.parquet,reports\research\510300_confirmed_exit_existing_budget_batch_v1\evaluation\BASE\CONFIRMED_RISK_EPISODE_30_10_decisions.parquet,6a3451159a0c77798390a1023ef6a29461625956cf948a04bf9b91433885e15b,568cecaaa370638c265fdc2cf8bbc432a711beb17fae8d3b70e1e13feb6399ff,1604,2020-01-02,2026-08-13,69800,41403.544399999955,0.0,0,-69800,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
CONFIRMED_RISK_EPISODE_30_10,STRESS,reports\research\510300_confirmed_exit_existing_budget_batch_v1\evaluation\STRESS\CONFIRMED_RISK_EPISODE_30_10_ledger.parquet,reports\research\510300_confirmed_exit_existing_budget_batch_v1\evaluation\STRESS\CONFIRMED_RISK_EPISODE_30_10_decisions.parquet,17cc138ae28ddf197fc3deabf5644f9c97d0b8c29fb4be50edfb789e0113128b,9c253016ed684a60b6918778fff3dd2eff3e8aa89e9839905509230aa8d96e19,1604,2020-01-02,2026-08-13,68400,37919.08831999975,0.0,0,-68400,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
R2_Z_CONFIRM,BASE,reports\research\510300_mean_rebound_auxiliary_v1\reference_sources\evaluation\BASE\R2_Z_CONFIRM_ledger.parquet,reports\research\510300_mean_rebound_auxiliary_v1\reference_sources\evaluation\BASE\R2_Z_CONFIRM_decisions.parquet,85a406a526cdb0b0af2241a4f11631cdfd933756fcd1331b9ea623c9868caf11,706cb1832a20634e21b5c268a214668df6b80b6dd27f0c5a02fe67a872113b3e,1604,2020-01-02,2026-08-13,0,233540.97640000013,0.0,0,0,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
R2_Z_CONFIRM,STRESS,reports\research\510300_mean_rebound_auxiliary_v1\reference_sources\evaluation\STRESS\R2_Z_CONFIRM_ledger.parquet,reports\research\510300_mean_rebound_auxiliary_v1\reference_sources\evaluation\STRESS\R2_Z_CONFIRM_decisions.parquet,8102557b5e78402e3ff740a9bcc1303d4e9977f4637e66e22cd23cafb334823e,d2240bb1a25eb8e8737a563dbe13215f6a3b4dc7732f2b4f7639aeac4c5b9363,1604,2020-01-02,2026-08-13,0,225530.85807999998,0.0,0,0,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
MEAN_REBOUND_AUX_50,BASE,reports\research\510300_mean_rebound_auxiliary_v1\evaluation\BASE\MEAN_REBOUND_AUX_50_ledger.parquet,reports\research\510300_mean_rebound_auxiliary_v1\evaluation\BASE\MEAN_REBOUND_AUX_50_decisions.parquet,a5879092d0f3cf1875e9c531bd4fd6d6b7b7849722c4935dd13b02f5869ad793,31e7825e8361d0a0618428b03791eff9c29307b412bee820d1f77d459866f945,1604,2020-01-02,2026-08-13,57400,116464.77738000039,0.0,0,-57400,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
MEAN_REBOUND_AUX_50,STRESS,reports\research\510300_mean_rebound_auxiliary_v1\evaluation\STRESS\MEAN_REBOUND_AUX_50_ledger.parquet,reports\research\510300_mean_rebound_auxiliary_v1\evaluation\STRESS\MEAN_REBOUND_AUX_50_decisions.parquet,d0f1f5b979a846cac88f0f4c25f34be1b7fed00f0e92fbccf1a79356ab31faee,2a2afedfe334de0b62abeb980947dfab2a228e417d866e8dfd77b8d8e2be5184,1604,2020-01-02,2026-08-13,54500,110212.4719600002,0.0,0,-54500,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
ADD_GATE_EXPOSURE_115,BASE,reports\research\510300_addition_gate_exposure_batch_v1\evaluation\BASE\ADD_GATE_EXPOSURE_115_ledger.parquet,reports\research\510300_addition_gate_exposure_batch_v1\evaluation\BASE\ADD_GATE_EXPOSURE_115_decisions.parquet,8a75829cd304b3f074cfe167f2dad1d290744429e29f84a18e44e96b9e11bd9a,fc8e0656d3794c2ce049f45df8708b71b045d811b3a9f2ed0522194a028c9ab0,1604,2020-01-02,2026-08-13,71800,66405.33772000013,0.0,0,-71800,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
ADD_GATE_EXPOSURE_115,STRESS,reports\research\510300_addition_gate_exposure_batch_v1\evaluation\STRESS\ADD_GATE_EXPOSURE_115_ledger.parquet,reports\research\510300_addition_gate_exposure_batch_v1\evaluation\STRESS\ADD_GATE_EXPOSURE_115_decisions.parquet,f13cd8a00924a86279ea2651f69a0bbf125282baf99c5fc7c86a68f048b1e897,83b9aa5bcc3903a79fe32ccf1e832470673f477654ac00ff7f9675823cfb9f8b,1604,2020-01-02,2026-08-13,69100,63771.47423999972,0.0,0,-69100,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
RUNS_OPPORTUNITY_CAPPED_SUM,BASE,reports\research\510300_runs_opportunity_union_v1\evaluation\BASE\RUNS_OPPORTUNITY_CAPPED_SUM_ledger.parquet,reports\research\510300_runs_opportunity_union_v1\evaluation\BASE\RUNS_OPPORTUNITY_CAPPED_SUM_decisions.parquet,78672775b2b465232146c8d7ff68012344130adb2480ce9c7470fa66e7cc52dd,a769aac01b4562fb2e2bd99d4b1ab8af8df2db8714105ba7d179fac63efa5d61,1604,2020-01-02,2026-08-13,23400,214776.73154000024,0.0,0,-23400,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
RUNS_OPPORTUNITY_CAPPED_SUM,STRESS,reports\research\510300_runs_opportunity_union_v1\evaluation\STRESS\RUNS_OPPORTUNITY_CAPPED_SUM_ledger.parquet,reports\research\510300_runs_opportunity_union_v1\evaluation\STRESS\RUNS_OPPORTUNITY_CAPPED_SUM_decisions.parquet,ffc527122af5beb3a1fea3b2c5f0e7683fc2dcd215d9af0e99e71de027e10740,1799ac3e60a07c6706d066b4e87b2d8b2fde6e249feabd25212f12f95ad2b166,1604,2020-01-02,2026-08-13,22900,209774.4398399999,0.0,0,-22900,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
SELECTED_MIX_BAND10_SIMPLE2,BASE,reports\research\510300_incremental_selected_intent_mix_v1\evaluation\BASE\SELECTED_MIX_BAND10_SIMPLE2_ledger.parquet,reports\research\510300_incremental_selected_intent_mix_v1\evaluation\BASE\SELECTED_MIX_BAND10_SIMPLE2_decisions.parquet,88da512649df623b11c01148314974b2a719cf5617cc080f9cbf8f4649946587,531fddcbc9d063f07fa0d3e7b8271ca29032417a1e6f4f52598bb220cd189a5a,1604,2020-01-02,2026-08-13,64000,94798.78310000012,0.0,0,-64000,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
SELECTED_MIX_BAND10_SIMPLE2,STRESS,reports\research\510300_incremental_selected_intent_mix_v1\evaluation\STRESS\SELECTED_MIX_BAND10_SIMPLE2_ledger.parquet,reports\research\510300_incremental_selected_intent_mix_v1\evaluation\STRESS\SELECTED_MIX_BAND10_SIMPLE2_decisions.parquet,b69620cc2d9384db33c744c19a08fc549e5ecf34f91f76f42bddc20480a6061f,56197a1e36642c6aa77e6671311f4dd82df295d876f597e9f67908f38f3b566e,1604,2020-01-02,2026-08-13,61800,91238.15483999997,0.0,0,-61800,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
