column,rows,exact_equal,maximum_absolute_difference,missing_values
open,3456,True,0,0
high,3456,True,0,0
low,3456,True,0,0
close,3456,True,0,0
volume,3456,True,0,0
amount,3456,True,0,0
correction_applied,3456,True,0,0
dividend,3456,True,0,0
previous_close,3456,True,0,1
overnight_log,3456,True,0,1
intraday_log,3456,True,0,0
total_simple,3456,True,0,1
total_log,3456,True,0,1
identity_error,3456,True,0,1
M20,3456,True,0,20
D20,3456,True,0,20
RV20,3456,True,0,20
LOG_RV20,3456,True,0,20
wealth,3456,True,0,0
mom1,3456,True,0,1
mom2,3456,True,0,2
mom5,3456,True,0,5
mom10,3456,True,0,10
mom20,3456,True,0,20
mom60,3456,True,0,60
mom120,3456,True,0,120
mom252,3456,True,0,252
sma5,3456,True,0,4
sma20,3456,True,0,19
sma60,3456,True,0,59
sma120,3456,True,0,119
sma200,3456,True,0,199
vol5,3456,True,0,5
vol20,3456,True,0,20
vol60,3456,True,0,60
downvol20,3456,True,0,20
downvol60,3456,True,0,60
dd20,3456,True,0,19
dd60,3456,True,0,59
dd120,3456,True,0,119
overnight_log_1,3456,True,0,1
overnight_log_5,3456,True,0,5
overnight_log_20,3456,True,0,20
intraday_log_1,3456,True,0,0
intraday_log_5,3456,True,0,4
intraday_log_20,3456,True,0,19
range,3456,True,0,1
close_location,3456,True,0,0
volume_ratio,3456,True,0,19
efficiency20,3456,True,0,0
rsi2,3456,True,0,0
z20,3456,True,0,0
vol_ratio,3456,True,0,60
feature_valid,3456,True,0,0
variance60,3456,True,0,60
