period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,entry_confirmation_origins,exit_confirmation_origins,all_zero_difference_windows,risk_capped_origins,full_target_origins
evaluation,SESSION_SIGNED_RANK,BASE,1604,499,1105,0,8,23,0,454,45
evaluation,SESSION_SIGNED_RANK,STRESS,1604,499,1105,0,8,23,0,454,45
earlier_diagnostic,SESSION_SIGNED_RANK,BASE,1219,605,614,0,18,16,0,473,132
earlier_diagnostic,SESSION_SIGNED_RANK,STRESS,1219,605,614,0,18,16,0,473,132
