period,cost,all_factor_rows,decision_origins,rank_score_max_error,raw_session_difference_reconstructed,independent_scipy_average_ranks,full_direction_and_confirmation_counters_equal
evaluation,BASE,3456,1604,0.0,True,True,True
evaluation,STRESS,3456,1604,0.0,True,True,True
earlier_diagnostic,BASE,1852,1219,0.0,True,True,True
earlier_diagnostic,STRESS,1852,1219,0.0,True,True,True
