period,year,partial_year,baseline,months,mean_loss_improvement
early,2015,False,PAST_MONTHLY_MEAN,12,1.1496922678696235
early,2015,False,RECENT_DOWNSIDE20,12,-0.271577777186436
early,2016,False,PAST_MONTHLY_MEAN,12,0.2694664505307933
early,2016,False,RECENT_DOWNSIDE20,12,0.9249680850864611
early,2017,False,PAST_MONTHLY_MEAN,12,0.7074096627404457
early,2017,False,RECENT_DOWNSIDE20,12,1.9657520446158034
early,2018,False,PAST_MONTHLY_MEAN,12,-0.10796608805505749
early,2018,False,RECENT_DOWNSIDE20,12,0.8385787892600197
early,2019,False,PAST_MONTHLY_MEAN,12,0.2591535627473218
early,2019,False,RECENT_DOWNSIDE20,12,0.04830214634432506
main,2020,False,PAST_MONTHLY_MEAN,12,-0.06416569587245548
main,2020,False,RECENT_DOWNSIDE20,12,1.183746414253743
main,2021,False,PAST_MONTHLY_MEAN,12,0.036456526451180436
main,2021,False,RECENT_DOWNSIDE20,12,0.15792063317709693
main,2022,False,PAST_MONTHLY_MEAN,12,0.025678204629994667
main,2022,False,RECENT_DOWNSIDE20,12,0.05172324481725301
main,2023,False,PAST_MONTHLY_MEAN,12,0.07578388939196838
main,2023,False,RECENT_DOWNSIDE20,12,0.24613772647669177
main,2024,False,PAST_MONTHLY_MEAN,12,0.23363303157316148
main,2024,False,RECENT_DOWNSIDE20,12,0.8811057522101383
main,2025,False,PAST_MONTHLY_MEAN,12,0.03652412072498323
main,2025,False,RECENT_DOWNSIDE20,12,0.386944145251416
main,2026,True,PAST_MONTHLY_MEAN,8,0.0433394937912564
main,2026,True,RECENT_DOWNSIDE20,8,0.37534991413620844
