period,cost,model,completed_cycles,unfinished_cycle,total_profit,unfinished_cycle_profit,top_five_completed_cycle_profit
early,BASE,LOG_RISK_RIDGE,0,True,42137.812000000005,42137.812000000005,0.0
early,STRESS,LOG_RISK_RIDGE,0,True,41814.82168000005,41814.82168000005,0.0
early,BASE,PAST_MONTHLY_MEAN,0,True,26127.71544,26127.71544,0.0
early,STRESS,PAST_MONTHLY_MEAN,0,True,26029.011200000008,26029.011200000008,0.0
early,BASE,RECENT_DOWNSIDE20,0,True,91607.93330000003,91607.93330000003,0.0
early,STRESS,RECENT_DOWNSIDE20,0,True,89234.02759999997,89234.02759999997,0.0
early,BASE,BUY_HOLD,0,True,44169.245520000026,44169.245520000026,0.0
early,STRESS,BUY_HOLD,0,True,44018.44672000001,44018.44672000001,0.0
early,BASE,MONTHLY_VOL10,0,True,62784.69788000011,62784.69788000011,0.0
early,STRESS,MONTHLY_VOL10,0,True,61484.17963999993,61484.17963999993,0.0
main,BASE,LOG_RISK_RIDGE,0,True,32731.067719999992,32731.067719999992,0.0
main,STRESS,LOG_RISK_RIDGE,0,True,32249.214439999952,32249.214439999952,0.0
main,BASE,PAST_MONTHLY_MEAN,0,True,22643.609819999983,22643.609819999983,0.0
main,STRESS,PAST_MONTHLY_MEAN,0,True,22561.238959999988,22561.238959999988,0.0
main,BASE,RECENT_DOWNSIDE20,0,True,62923.12865999999,62923.12865999999,0.0
main,STRESS,RECENT_DOWNSIDE20,0,True,59538.757760000066,59538.757760000066,0.0
main,BASE,BUY_HOLD,0,True,45794.88935999997,45794.88935999997,0.0
main,STRESS,BUY_HOLD,0,True,45658.139999999985,45658.139999999985,0.0
main,BASE,MONTHLY_VOL10,0,True,86208.55015999998,86208.55015999998,0.0
main,STRESS,MONTHLY_VOL10,0,True,83600.76651999995,83600.76651999995,0.0
