period,baseline,months,candidate_loss,baseline_loss,mean_loss_improvement,candidate_mse,baseline_mse
early,PAST_MONTHLY_MEAN,60,-2.631161440837841,-2.175610269671216,0.45555117116662536,0.003570689615272247,0.004532072286749542
early,RECENT_DOWNSIDE20,60,-2.631161440837841,-1.9299567832138065,0.7012046576240345,0.003570689615272247,0.0032255573677354857
main,PAST_MONTHLY_MEAN,80,-3.1249061881698452,-3.0689857272558947,0.055920460913950545,0.00042497396763241065,0.0004532599987044977
main,RECENT_DOWNSIDE20,80,-3.1249061881698452,-2.6512345093282734,0.4736716788415718,0.00042497396763241065,0.0007379914157445687
