period,cost,model,year,partial_year,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error
early,BASE,LOG_RISK_RIDGE,2015,False,244,211559.77152,11559.77152000001,0.057311773638539565,0.42152207739265696,0.1642842996664202,-0.18089988794573675,2,23.92848,68.39999999998972,0.39243662482130304,4.18367562815547e-11
early,BASE,LOG_RISK_RIDGE,2016,False,244,205894.87152000002,-5664.899999999994,-0.026560288631582996,-0.3380116513052888,0.07198004290629603,-0.07760738198021655,2,10.0,27.79999999999694,0.41110536392128405,3.456079866737127e-11
early,BASE,LOG_RISK_RIDGE,2017,False,244,235666.91199999998,29772.040479999938,0.14333189501808152,1.8434445812703835,0.07416947293791483,-0.052399152330816934,4,45.75952,141.20000000000695,0.6580559012876043,5.411493475548923e-11
early,BASE,LOG_RISK_RIDGE,2018,False,243,208770.212,-26896.699999999983,-0.1136882523176842,-1.2086273285530669,0.0960252270232089,-0.15097818827737175,0,0.0,0.0,0.44733339489294854,3.956301952712238e-11
early,BASE,LOG_RISK_RIDGE,2019,False,244,242137.812,33367.600000000006,0.1584205713413005,1.693404075380665,0.08920298102972375,-0.06376467502059635,1,5.0,12.000000000001343,0.47151755793806405,4.1154635255225e-11
early,STRESS,LOG_RISK_RIDGE,2015,False,244,211473.62808000002,11473.628080000024,0.05688478290114185,0.41901496843104047,0.16431554319956246,-0.1809648057486538,2,47.871919999999996,130.59999999999943,0.39257922781886423,3.6834535421803594e-11
early,STRESS,LOG_RISK_RIDGE,2016,False,244,205772.74464000005,-5700.883439999976,-0.026739907783319472,-0.3404283200618059,0.07200564937592975,-0.07763899522161166,2,18.183440000000004,55.60000000000005,0.411319686272742,3.504396772768814e-11
early,STRESS,LOG_RISK_RIDGE,2017,False,244,235381.62952000002,29608.88487999997,0.14263139222335797,1.8338334052364436,0.07422609690971207,-0.05271629963941238,4,91.51512,258.5999999999976,0.6585599755319355,3.8255620893323794e-11
early,STRESS,LOG_RISK_RIDGE,2018,False,243,208484.92952000003,-26896.699999999983,-0.11382607755232987,-1.2085728985244608,0.09614839425989705,-0.15115371683963796,0,0.0,0.0,0.4479017335331496,4.206412995699793e-11
early,STRESS,LOG_RISK_RIDGE,2019,False,244,241814.82168000005,33329.89216000002,0.15845805365743337,1.692406855041631,0.08927863470179535,-0.06384062602861407,1,9.30784,23.600000000000023,0.47181403845550013,4.058620106661692e-11
early,BASE,PAST_MONTHLY_MEAN,2015,False,244,211589.11544000002,11589.115440000023,0.05745722353007898,0.3750164493979935,0.20533387550705726,-0.22933733874084128,2,27.08456,77.19999999999399,0.4841254986696047,4.729372449219227e-11
