cost_scenario,model,策略,year,pnl_cny,holding_days,cash_only_days,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,EPS,原前瞻EPS三因子,2020,0.0,0,243,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,EPS,原前瞻EPS三因子,2021,0.0,0,243,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,EPS,原前瞻EPS三因子,2022,0.0,0,242,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,EPS,原前瞻EPS三因子,2023,0.0,0,242,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,EPS,原前瞻EPS三因子,2024,47160.493539999996,164,78,0.23580246769999852,0.23580246769999852,0.22612247479572278,0.1728963036022613,1.3078502552368352,-0.1237698051689185,242,0.507437028081957,3,92.00646,267.59999999995983,False,3.842615114990622e-11
BASE,EPS,原前瞻EPS三因子,2025,41104.318759999995,223,19,0.16630618498642738,0.1655680381532345,0.16252182319625796,0.13573726001485426,1.1973265349431141,-0.10060198766385221,243,0.8380088771844697,5,122.08124,321.50000000001893,False,4.7066350816749036e-11
BASE,EPS,原前瞻EPS三因子,2026,6320.10904000001,148,0,0.021924663609037102,0.03585216828745442,0.052819796965093785,0.18801667621418144,0.2809314472984486,-0.09854656028128625,149,0.9909324708838794,2,63.89096,191.40000000000725,False,5.638867150992155e-11
BASE,PRICE_EPS,价格加前瞻EPS,2020,0.0,0,243,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,PRICE_EPS,价格加前瞻EPS,2021,0.0,0,243,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,PRICE_EPS,价格加前瞻EPS,2022,0.0,0,242,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,PRICE_EPS,价格加前瞻EPS,2023,-10938.368879999995,60,182,-0.05469184440000047,-0.05469184440000047,-0.05496551686054796,0.05056533587568945,-1.0870197123910337,-0.09046706455205765,242,0.19464550854362161,2,39.968880000000006,107.9999999999881,False,2.887645678129047e-11
BASE,PRICE_EPS,价格加前瞻EPS,2024,35928.01576000004,125,115,0.19003335339467198,0.19003335339467198,0.18990900322957005,0.18227731208801148,1.0418685740651785,-0.1737768581883584,242,0.4913734589466959,5,131.58424000000002,397.89999999996945,False,2.830802259268239e-11
BASE,PRICE_EPS,价格加前瞻EPS,2025,45493.77968000001,204,38,0.20220388053795563,0.20129314096470372,0.1903244144357729,0.11657566755066696,1.6326255593008097,-0.1006069194474963,243,0.7403754865961436,6,156.92032000000003,475.1000000000055,False,5.874767339264508e-11
BASE,PRICE_EPS,价格加前瞻EPS,2026,5944.806879999989,148,0,0.021978451528827127,0.035940720594128645,0.0529135776057088,0.18806120703538207,0.28136359667070293,-0.09859943699759181,149,0.9911045797594171,3,65.29311999999999,179.7000000000068,False,5.3091753215994686e-11
BASE,PRICE,共同月份价格对照,2020,0.0,0,243,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,PRICE,共同月份价格对照,2021,0.0,0,243,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,PRICE,共同月份价格对照,2022,0.0,0,242,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,PRICE,共同月份价格对照,2023,-11907.552779999969,60,182,-0.05953776389999958,-0.05953776389999958,-0.060004785347114176,0.05249104178111085,-1.1431433500088615,-0.09579038570231924,242,0.2120042784216345,2,39.952780000000004,107.39999999998817,False,1.7337242752546445e-11
BASE,PRICE,共同月份价格对照,2024,4018.2809799999814,37,204,0.021363329784848492,0.021363329784848492,0.02356971415344833,0.06995698980699873,0.33691721468396196,-0.06920639394294528,242,0.1519221196237945,2,43.41902,112.19999999998764,False,2.8194335754960775e-11
BASE,PRICE,共同月份价格对照,2025,674.976640000008,19,223,0.0035134770781633036,0.0034989930587286315,0.0035152742985777407,0.006703933397804799,0.5243599674974122,-0.006581880517179563,243,0.019953508896421304,2,19.42336,49.600000000000044,False,3.467448550509289e-11
BASE,PRICE,共同月份价格对照,2026,12607.454700000002,84,63,0.06539621135531493,0.1083643176223184,0.10564610965167483,0.07458263885196312,1.4164973414438804,-0.04053273940990569,149,0.30517749254688226,6,99.6453,316.19999999998413,False,2.864908310584724e-11
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,2020,0.0,0,243,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,2021,0.0,0,243,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,2022,0.0,0,242,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,2023,0.0,0,242,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,2024,-12721.72887999998,84,155,-0.0636086444000002,-0.0636086444000002,-0.06471501588876138,0.04473536834605216,-1.4466185991396314,-0.08109804604088897,242,0.23598033177587383,8,228.52888000000002,650.6000000000057,False,2.6773250283440575e-11
