period,cost,monthly_attempts,selection_changes,base_scores_shared,terminal_open_excluded,target_origins_checked
evaluation,BASE,80,8,True,True,1604
evaluation,STRESS,80,8,True,True,1604
earlier_diagnostic,BASE,60,9,True,True,1219
earlier_diagnostic,STRESS,60,9,True,True,1219
