date,selected_parent,target,downside_parent_target,continuous_parent_target,downside_past_sharpe,continuous_past_sharpe,selection_status,selection_update_scheduled,selection_changed,selection_attempt_origin,last_successful_selection_origin,selection_window_start,selection_window_observations,origin_index,scoring_cost,downside_scoring_return,continuous_scoring_return,target_cost
2020-01-02,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-01-02,,2020-01-02,1,1852,BASE,0.0,0.0,BASE
2020-02-03,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-02-03,,2020-01-02,17,1868,BASE,0.0,0.0,BASE
2020-03-02,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-03-02,,2020-01-02,37,1888,BASE,0.0,0.00027496890699829635,BASE
2020-04-01,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-04-01,,2020-01-02,59,1910,BASE,0.0,0.0,BASE
2020-05-06,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-05-06,,2020-01-02,80,1931,BASE,0.0,0.0,BASE
2020-06-01,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-06-01,,2020-01-02,98,1949,BASE,0.0,0.0,BASE
2020-07-01,DOWNSIDE_REFERENCE_RISK,1.0,1.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-07-01,,2020-01-02,118,1969,BASE,0.019349305765796965,0.0,BASE
2020-08-03,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-08-03,,2020-01-02,141,1992,BASE,0.0,0.0,BASE
2020-09-01,DOWNSIDE_REFERENCE_RISK,0.6969076114519388,0.6969076114519388,0.0024608497738199953,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-09-01,,2020-01-02,162,2013,BASE,0.005471724912047504,1.592261366090142e-05,BASE
2020-10-09,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-10-09,,2020-01-02,184,2035,BASE,0.0,0.0,BASE
2020-11-02,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-11-02,,2020-01-02,200,2051,BASE,0.0,0.0,BASE
2020-12-01,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-12-01,,2020-01-02,221,2072,BASE,0.0,0.0,BASE
2021-01-04,CONTINUOUS_REFERENCE_MIN_VARIANCE,0.000884365421071065,0.815899676399381,0.000884365421071065,1.4936244385692783,1.8063882084997285,POSITIVE_PAST_SHARPE_PARENT_SELECTED,True,True,2021-01-04,2021-01-04,2020-01-06,242,2095,BASE,0.0,0.0,BASE
2021-02-01,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,1.7958645069998056,1.3215894456023451,POSITIVE_PAST_SHARPE_PARENT_SELECTED,True,True,2021-02-01,2021-02-01,2020-02-11,242,2115,BASE,0.0,0.0,BASE
2021-03-01,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,1.8605352256388337,-1.2649049422879457,POSITIVE_PAST_SHARPE_PARENT_SELECTED,True,False,2021-03-01,2021-03-01,2020-03-03,242,2130,BASE,0.0,0.0,BASE
2021-04-01,DOWNSIDE_REFERENCE_RISK,0.0,0.0,0.0,1.860535225638833,-1.2649049422879468,POSITIVE_PAST_SHARPE_PARENT_SELECTED,True,False,2021-04-01,2021-04-01,2020-04-03,242,2153,BASE,0.0,0.0,BASE
