period,cost,decision_origins,monthly_attempts,selection_changes,selected_origins,positive_target_origins,zero_target_origins,unknown_target_origins,new_model_fits,new_reference_accounts
evaluation,BASE,1604,80,8,"{'CONTINUOUS_REFERENCE_MIN_VARIANCE': 836, 'DOWNSIDE_REFERENCE_RISK': 587, 'CASH': 181}",266,1338,0,0,0
evaluation,STRESS,1604,80,8,"{'CONTINUOUS_REFERENCE_MIN_VARIANCE': 836, 'DOWNSIDE_REFERENCE_RISK': 587, 'CASH': 181}",266,1338,0,0,0
earlier_diagnostic,BASE,1219,60,9,"{'DOWNSIDE_REFERENCE_RISK': 793, 'CONTINUOUS_REFERENCE_MIN_VARIANCE': 246, 'CASH': 180}",244,975,0,0,0
earlier_diagnostic,STRESS,1219,60,9,"{'DOWNSIDE_REFERENCE_RISK': 793, 'CONTINUOUS_REFERENCE_MIN_VARIANCE': 246, 'CASH': 180}",245,974,0,0,0
