period,cost,model,state,days,mean_daily_return,annualized_arithmetic_return,annualized_volatility,conditional_sharpe,net_pnl,trade_days,mean_exposure
主历史,BASE,TREND_NOISE_REFERENCE_BLEND,上升稳定,607,0.00016006060582937498,0.03873466661070875,0.04046187300078854,0.957312742540462,21612.558800000086,27,0.0684233775832649
主历史,BASE,TREND_NOISE_REFERENCE_BLEND,压力回撤,721,0.00018088679410723275,0.04377460417395032,0.029123467230568537,1.503069803721848,29778.231099999946,23,0.06382585156821248
主历史,BASE,TREND_NOISE_REFERENCE_BLEND,上升高波动,99,0.00040509848846890216,0.09803383420947433,0.041545144309293666,2.3596941553418582,9608.378620000061,7,0.03858925668216981
主历史,BASE,TREND_NOISE_REFERENCE_BLEND,非上升,177,0.00012885734918419297,0.031183478502574698,0.020516912316243478,1.5198913960306968,5402.904119999992,9,0.04069391613913221
主历史,BASE,RETURN_RUNS_STATE,上升稳定,607,0.0003719053672411964,0.09000109887236953,0.04835564598935987,1.8612324792884223,49620.294279999915,23,0.17770136379244866
主历史,BASE,RETURN_RUNS_STATE,压力回撤,721,-1.5755438561688374e-06,-0.00038128161319285866,0.007124295139957194,-0.053518503332969654,-276.0776800000167,1,0.0022508397800597357
主历史,BASE,RETURN_RUNS_STATE,上升高波动,99,-0.0001941778741699224,-0.04699104554912122,0.0222047495174134,-2.116261005883895,-4512.321640000009,3,0.007898325627003034
主历史,BASE,RETURN_RUNS_STATE,非上升,177,0.0,0.0,0.0,,0.0,0,0.0
主历史,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,上升稳定,607,0.0005294041089737838,0.12811579437165568,0.06523660661021613,1.9638635580348012,82223.41916000002,50,0.245544193818232
主历史,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,压力回撤,721,0.00017947888040522057,0.04343388905806338,0.0299862109418115,1.4484620661925982,31795.594380000286,24,0.0660959781905866
主历史,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,上升高波动,99,0.00021092729933538972,0.05104440643916431,0.047483485739932295,1.0749928242154594,5351.071520000027,10,0.04650536227957379
主历史,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,非上升,177,0.0001288879940049543,0.03119089454919894,0.020533953244799702,1.5189912131069134,6160.091359999933,9,0.04072978169547997
主历史,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,上升稳定,607,0.00047094698430332133,0.11396917020140376,0.06397553272726175,1.7814493345021936,71636.74606000012,50,0.23227659834204245
主历史,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,压力回撤,721,0.00017946361362494712,0.0434301944972372,0.029984842558121668,1.4484049537046422,31424.2313800001,24,0.06608932045873558
主历史,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,上升高波动,99,0.00021061098278688325,0.05096785783442575,0.04746022028367885,1.0739068957072064,5212.121980000025,10,0.04651280930491509
主历史,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,非上升,177,0.0001288320025455977,0.03117734461603464,0.020520416532975188,1.519332931957514,5961.731879999948,9,0.04073317065391788
主历史,BASE,BUY_HOLD,上升稳定,607,0.00031570769931127206,0.07640126323332784,0.1557304029880015,0.49059953462789335,40809.68936000002,1,0.9459914943534913
主历史,BASE,BUY_HOLD,压力回撤,721,0.00047271600028877685,0.114397272069884,0.1797984915198942,0.6362526798909559,64664.97488000014,1,0.9533418840130037
主历史,BASE,BUY_HOLD,上升高波动,99,-0.0014918157863338904,-0.3610194202928015,0.31030650915640945,-1.1634284478087769,-39397.60000000015,0,0.9680582869878711
主历史,BASE,BUY_HOLD,非上升,177,-0.00023268445307754592,-0.05630963764476611,0.15935362474976267,-0.353362766194937,-12826.0,0,0.9640924836017383
主历史,STRESS,TREND_NOISE_REFERENCE_BLEND,上升稳定,607,0.00015211032926076986,0.036810699681106306,0.04042702303283285,0.9105468797742158,20344.15991999983,27,0.06844502219089045
主历史,STRESS,TREND_NOISE_REFERENCE_BLEND,压力回撤,721,0.0001730216732492281,0.0418712449263132,0.028994233106473928,1.4441232079686923,28278.582920000044,23,0.06384940668647862
主历史,STRESS,TREND_NOISE_REFERENCE_BLEND,上升高波动,99,0.00038980098233447997,0.09433183772494415,0.041423870259215394,2.2772338058865595,9196.330520000018,7,0.0386539922554447
主历史,STRESS,TREND_NOISE_REFERENCE_BLEND,非上升,177,0.00011863290953288673,0.02870916410695859,0.0207014945042507,1.3868160147115778,4930.760840000032,9,0.040823171624716145
主历史,STRESS,RETURN_RUNS_STATE,上升稳定,607,0.00035873500347877695,0.08681387084186402,0.04833707681378363,1.7960099485599939,47623.113040000084,23,0.1777478100680656
主历史,STRESS,RETURN_RUNS_STATE,压力回撤,721,-1.7699456965554092e-06,-0.000428326858566409,0.007117402535137477,-0.06018022114835122,-305.8862000000081,1,0.002246599697072985
主历史,STRESS,RETURN_RUNS_STATE,上升高波动,99,-0.0002031761405775941,-0.04916862601977777,0.02241541363740759,-2.1935185678538414,-4684.376039999974,3,0.007887479711861078
主历史,STRESS,RETURN_RUNS_STATE,非上升,177,0.0,0.0,0.0,,0.0,0,0.0
主历史,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,上升稳定,607,0.0005081202279688306,0.12296509516845701,0.06522498246296174,1.8852453542365182,77889.91039999985,50,0.24568741055172877
主历史,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,压力回撤,721,0.0001712660304166508,0.0414463793608295,0.029847092528048645,1.388623676556786,29930.999759999977,24,0.06609416701831763
