period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,equal_direction_origins,risk_capped_origins,full_target_origins
evaluation,VORTEX_RISK,BASE,1604,807,797,0,0,736,71
evaluation,VORTEX_RISK,STRESS,1604,807,797,0,0,736,71
earlier_diagnostic,VORTEX_RISK,BASE,1219,700,519,0,0,590,110
earlier_diagnostic,VORTEX_RISK,STRESS,1219,700,519,0,0,590,110
