period,cost,full_factor_rows,decision_origins,independent_raw_to_economic_prices,independent_fsum_windows,volatility_max_error,target_source_is_same_for_both_costs
evaluation,BASE,3456,1604,True,True,2.8102520310824275e-15,True
evaluation,STRESS,3456,1604,True,True,2.8102520310824275e-15,True
earlier_diagnostic,BASE,1852,1219,True,True,2.8102520310824275e-15,True
earlier_diagnostic,STRESS,1852,1219,True,True,2.8102520310824275e-15,True
