period,cost,comparator,terminal_equity_difference,price_pnl_difference,dividend_difference,additional_commission,additional_slippage
evaluation,BASE,REARM_NONE,33108.583480000205,43897.49999999986,-6349.200000000001,1127.4165199999998,3312.299999999696
evaluation,BASE,D60_INTRA__CLOSE_NEXT_OPEN,-877.1550999997999,9011.599999999977,-7393.600000000002,646.6550999999997,1848.4999999998236
evaluation,STRESS,REARM_NONE,28597.662600000156,43057.89999999988,-6307.299999999999,2196.7374,5956.199999999934
evaluation,STRESS,D60_INTRA__CLOSE_NEXT_OPEN,-3232.43871999986,8712.499999999985,-7286.5,1256.13872,3402.300000000032
earlier_diagnostic,BASE,REARM_NONE,11822.120999999985,11859.999999999985,0.0,11.878999999999905,25.999999999967258
earlier_diagnostic,BASE,D60_INTRA__CLOSE_NEXT_OPEN,24249.941220000037,28576.399999999994,-7438.700000000001,-774.3412200000002,-2337.900000000109
earlier_diagnostic,STRESS,REARM_NONE,11674.485920000123,11750.199999999983,0.0,23.714079999999967,52.0
earlier_diagnostic,STRESS,D60_INTRA__CLOSE_NEXT_OPEN,27054.79740000004,28461.599999999977,-7313.799999999999,-1517.6974,-4389.299999999972
