period,cost,contrast,comparison_name,state,state_name,observations,full_calendar_rows,fraction,conditional_mean_net_difference_bp,annual_mean_net_contribution,annual_price_contribution,annual_dividend_contribution,annual_fee_contribution,block20_simultaneous_lower,block20_simultaneous_upper,block20_bootstrap_standard_error,block60_simultaneous_lower,block60_simultaneous_upper,block60_bootstrap_standard_error
evaluation,BASE,143_VS_BUY_HOLD,143相对买入持有,0,趋势未向上、波动未上升,359,1604,0.2238154613466334,-2.04168761612201,-0.01105846238861895,-0.0108573017930041,0.0,0.00020116059561489603,-0.12254865637697406,0.10043173159973616,0.03136348630167661,-0.12204653678688039,0.0999296120096425,0.03248992598941027
evaluation,BASE,143_VS_BUY_HOLD,143相对买入持有,1,趋势未向上、波动上升,383,1604,0.2387780548628429,-1.075321923554134,-0.0062136713096345685,-4.792442357941425e-05,-0.005245383803787427,0.0009203630822676721,-0.11253505693828077,0.10010771431901162,0.02990944048485209,-0.10449004683412369,0.09206270421485455,0.028768786057506
evaluation,BASE,143_VS_BUY_HOLD,143相对买入持有,2,趋势向上、波动未上升,536,1604,0.3341645885286783,-1.57669999063847,-0.01275043074723798,-0.004578654771184556,-0.00735806343192671,0.000813712544126641,-0.10256130091260435,0.0770604394181284,0.025264840748840486,-0.10336913986028878,0.07786827836581281,0.026527130669680647
evaluation,BASE,143_VS_BUY_HOLD,143相对买入持有,3,趋势向上、波动上升,326,1604,0.20324189526184538,4.4752547053535245,0.022011333803912108,0.02426021013145575,-0.001962783596434449,0.00028609273110899165,-0.11181627906188128,0.1558389466697055,0.03764726163577032,-0.1234349624141315,0.1674576300219557,0.04257700140468517
evaluation,BASE,150_REDUCE_VS143,150只减预算相对143,0,趋势未向上、波动未上升,359,1604,0.2238154613466334,0.040154206517239624,0.00021748860061126835,0.00016104380488848408,0.0,-5.644479572274423e-05,-0.0005909771155286105,0.0010259543167511472,0.0002274307946416944,-0.00048717790173573815,0.0009221551029582749,0.00020627948212091396
evaluation,BASE,150_REDUCE_VS143,150只减预算相对143,1,趋势未向上、波动上升,383,1604,0.2387780548628429,-0.14944552313070442,-0.0008635603339708521,-0.0009324267299516527,0.0,-6.88663959807979e-05,-0.0035741704378754427,0.0018470497699337386,0.0007625261004737097,-0.0037085081151595417,0.0019813874472178377,0.0008328114831768393
evaluation,BASE,150_REDUCE_VS143,150只减预算相对143,2,趋势向上、波动未上升,536,1604,0.3341645885286783,0.08726604006406818,0.0007057015329669831,0.0009103559568206097,-0.0004033357215661079,-0.00019868129771243812,-0.002711208885642792,0.004122611951576758,0.000961216581247648,-0.0022148135139300755,0.0036262165798640416,0.0008549325523403337
evaluation,BASE,150_REDUCE_VS143,150只减预算相对143,3,趋势向上、波动上升,326,1604,0.20324189526184538,-0.0029986850782202606,-1.4748894213899801e-05,-1.5128542507423828e-05,0.0,-3.7964829358389193e-07,-5.0825369295517494e-05,2.1327580867717893e-05,1.0148731395635342e-05,-5.599953798019398e-05,2.6501749552394378e-05,1.2075444774122686e-05
evaluation,BASE,151_CONFIRM_VS143,151平均K线确认相对143,0,趋势未向上、波动未上升,359,1604,0.2238154613466334,-0.5153199042955953,-0.0027911448033287236,-0.0025479072163220877,0.0,0.00024323758700661952,-0.009209262516094652,0.0036269729094372044,0.0018054910460368106,-0.008883213512475258,0.0033009239058178095,0.0017833525138235347
evaluation,BASE,151_CONFIRM_VS143,151平均K线确认相对143,1,趋势未向上、波动上升,383,1604,0.2387780548628429,-1.5432868831066353,-0.008917773569053716,-0.00880130749901325,0.0,0.000116466070040441,-0.027882182370003658,0.010046635231896228,0.00533490842889836,-0.027358765751730046,0.009523218613622616,0.005398295937962797
evaluation,BASE,151_CONFIRM_VS143,151平均K线确认相对143,2,趋势向上、波动未上升,536,1604,0.3341645885286783,-0.18005895571558497,-0.0014560977097119675,0.0012097597759551202,-0.0015363212084944012,0.0011295362771727756,-0.01380777915661485,0.010895583737190915,0.003474671430772413,-0.013308866009387021,0.010396670589963086,0.0034697021902030853
evaluation,BASE,151_CONFIRM_VS143,151平均K线确认相对143,3,趋势向上、波动上升,326,1604,0.20324189526184538,0.2485536631756848,0.0012224997253900327,0.0012229666861968548,0.0,4.6696080680499476e-07,-0.002216370780006852,0.004661370230786917,0.0009673942086827844,-0.0019556755808866457,0.0044006750316667115,0.0009303583384262957
evaluation,STRESS,143_VS_BUY_HOLD,143相对买入持有,0,趋势未向上、波动未上升,359,1604,0.2238154613466334,-2.07343381245919,-0.011230410396435754,-0.010863263395074717,0.0,0.0003671470013610437,-0.12284684599618842,0.10038602520331691,0.031398999533003326,-0.12233095139007735,0.09987013059720584,0.03252284872800172
evaluation,STRESS,143_VS_BUY_HOLD,143相对买入持有,1,趋势未向上、波动上升,383,1604,0.2387780548628429,-1.2238554644926054,-0.007071961819324291,-5.2804206930837115e-05,-0.0052490707563583785,0.0017700868560350292,-0.11346136753390398,0.0993174438952554,0.02992857532494069,-0.10534289272367894,0.09119896908503036,0.028767192234870835
evaluation,STRESS,143_VS_BUY_HOLD,143相对买入持有,2,趋势向上、波动未上升,536,1604,0.3341645885286783,-1.6600610902019737,-0.01342455387358344,-0.004581758141954828,-0.00735880551249768,0.0014839902191311448,-0.10340918043886349,0.0765600726916966,0.0253137204419648,-0.10420551532939562,0.07735640758222873,0.02657462736368589
evaluation,STRESS,143_VS_BUY_HOLD,143相对买入持有,3,趋势向上、波动上升,326,1604,0.20324189526184538,4.427600930004595,0.021776950908349284,0.024267365583896618,-0.0019637861395351243,0.0005266285360120231,-0.1122357404764799,0.15578964229317846,0.037699326372487164,-0.1238695526460241,0.16742345446272267,0.0426356087962915
evaluation,STRESS,150_REDUCE_VS143,150只减预算相对143,0,趋势未向上、波动未上升,359,1604,0.2238154613466334,0.04939074977210603,0.00026751680540530097,0.00016074301849558433,0.0,-0.00010677378690983302,-0.0006614290226011426,0.0011964626334117444,0.0002613232492421962,-0.0005584256695724684,0.0010934592803830705,0.00024178102042969062
evaluation,STRESS,150_REDUCE_VS143,150只减预算相对143,1,趋势未向上、波动上升,383,1604,0.2387780548628429,-0.13782403213338593,-0.0007964063742091652,-0.0009337232477032616,0.0,-0.00013731687349407808,-0.003318613417703836,0.0017258006692855055,0.0007095261316605094,-0.0034368461388727335,0.0018440333904544029,0.0007729451384621825
evaluation,STRESS,150_REDUCE_VS143,150只减预算相对143,2,趋势向上、波动未上升,536,1604,0.3341645885286783,0.11328748179909735,0.0009161312867284611,0.000953386058963287,-0.000409738826924168,-0.00037248405468936547,-0.002493460119096176,0.004325722692553098,0.0009591576579556816,-0.001996288533972599,0.003828551107429521,0.0008525628085511789
evaluation,STRESS,150_REDUCE_VS143,150只减预算相对143,3,趋势向上、波动上升,326,1604,0.20324189526184538,0.0024242479721613983,1.1923551809211786e-05,1.2142643462929115e-05,0.0,2.190916537007551e-07,-5.31725086319279e-05,7.701961225035147e-05,1.8312277760966507e-05,-4.781857638992641e-05,7.166568000834999e-05,1.7488521484523254e-05
evaluation,STRESS,151_CONFIRM_VS143,151平均K线确认相对143,0,趋势未向上、波动未上升,359,1604,0.2238154613466334,-0.5500230848052439,-0.0029791088255430157,-0.002549176059546251,0.0,0.00042993276599664085,-0.009640979603547673,0.003682761952461641,0.0018740616139865359,-0.009323797621429748,0.003365579970343716,0.0018573028725997025
evaluation,STRESS,151_CONFIRM_VS143,151平均K线确认相对143,1,趋势未向上、波动上升,383,1604,0.2387780548628429,-1.5605754811386585,-0.009017674504041005,-0.008799222079567594,0.0,0.00021845242447342226,-0.028469318299033472,0.010433969290951464,0.005471973290969963,-0.027941519799206803,0.009906170791124795,0.005539643213096574
evaluation,STRESS,151_CONFIRM_VS143,151平均K线确认相对143,2,趋势向上、波动未上升,536,1604,0.3341645885286783,-0.29157305318129,-0.0023578880220855043,0.0012071199338312326,-0.0015410215657187974,0.0020239863901978057,-0.015208990659730026,0.010493214615559018,0.0036151644114934657,-0.014894892192195553,0.010179116148024544,0.003670000942210994
evaluation,STRESS,151_CONFIRM_VS143,151平均K线确认相对143,3,趋势向上、波动上升,326,1604,0.20324189526184538,0.25751386052528624,0.0012665700426783594,0.0012654863185111826,0.0,-1.083724167079615e-06,-0.0021741245685795506,0.004707264653936269,0.0009679073508447851,-0.001913715773924253,0.004446855859280972,0.0009309761554725076
earlier_diagnostic,BASE,143_VS_BUY_HOLD,143相对买入持有,0,趋势未向上、波动未上升,313,1219,0.25676784249384743,3.0175111671241317,0.018750155936422024,0.022489760043604774,-0.0034670033514179873,0.00027260075576468723,-0.1483449635499642,0.18584527542280824,0.047005797582840944,-0.10156021753438997,0.139060529407234,0.03521887510002805
earlier_diagnostic,BASE,143_VS_BUY_HOLD,143相对买入持有,1,趋势未向上、波动上升,175,1219,0.1435602953240361,3.2463368573980707,0.01127829088685876,0.014719615971235616,-0.0030677287403130327,0.00037359634406403265,-0.12702544056516488,0.14958202233888238,0.03890644577512678,-0.09250276398270668,0.11505934575642421,0.030380190034794634
earlier_diagnostic,BASE,143_VS_BUY_HOLD,143相对买入持有,2,趋势向上、波动未上升,397,1219,0.32567678424938473,-9.948334926821767,-0.07840658980799627,-0.06981096099140649,-0.008056537068878699,0.000539091747711017,-0.24373675093273062,0.08692357131673807,0.04650929429929226,-0.23884207396941692,0.0820288943534244,0.04696483865262386
earlier_diagnostic,BASE,143_VS_BUY_HOLD,143相对买入持有,3,趋势向上、波动上升,334,1219,0.27399507793273176,4.642071720533086,0.030780096228650394,0.032530410791183545,-0.0014487724375603366,0.0003015421249726417,-0.13520893179041057,0.19676912424771134,0.04669464120807062,-0.09569376165105502,0.1572539541083558,0.037023133380636335
earlier_diagnostic,BASE,150_REDUCE_VS143,150只减预算相对143,0,趋势未向上、波动未上升,313,1219,0.25676784249384743,0.1576792338407283,0.0009797843516406732,0.0009569154094748448,0.0,-2.2868942165986164e-05,-0.002482286563060671,0.004441855266342018,0.0009739207532458847,-0.0023530415416908234,0.00431261024497217,0.0009756297439792927
earlier_diagnostic,BASE,150_REDUCE_VS143,150只减预算相对143,1,趋势未向上、波动上升,175,1219,0.1435602953240361,0.05231113405423292,0.00018173720485617425,0.00015382997596331133,0.0,-2.7907228892771686e-05,-0.0004053258627134206,0.000768800272425769,0.00016514765845561597,-0.0004123460416530959,0.0007758204513654444,0.00017390806008016582
earlier_diagnostic,BASE,150_REDUCE_VS143,150只减预算相对143,2,趋势向上、波动未上升,397,1219,0.32567678424938473,-2.4600119570273478,-0.019388284557788793,-0.019746231898709835,0.0,-0.00035794734092101376,-0.06192597231852657,0.023149403202948983,0.01196634555616831,-0.06795177328985832,0.029175204174280732,0.014216159377905328
