period,model,cost,entry,start_index,start_equity,exit,end_index,days,profit,total_return,end_equity,drawdown,commission,slippage
early,MONTHLY_MOM20,BASE,2015-02-02,20,200000.0,2015-09-01,163,144,14080.823960000009,0.07040411980000005,214080.82396,-0.1304376309462063,36.976040000000005,110.4999999999936
early,MONTHLY_MOM20,BASE,2015-10-08,183,214080.82396,2016-02-01,264,82,-12974.63798,-0.06060625954253729,201106.18598,-0.1153975210721675,33.637980000000006,105.2000000000001
early,MONTHLY_MOM20,BASE,2016-04-01,303,201106.18598,2018-07-02,851,549,28593.840220000013,0.14218279801121425,229700.02620000002,-0.14164804572405199,191.25978000000003,572.8000000000045
early,MONTHLY_MOM20,BASE,2018-08-01,873,229700.02620000002,2018-11-01,933,61,-11930.991039999994,-0.051941618106789766,217769.03516000003,-0.07107132006065042,45.391040000000004,132.80000000000013
early,MONTHLY_MOM20,STRESS,2015-02-02,20,200000.0,2015-09-01,163,144,13945.447920000006,0.06972723959999994,213945.44792,-0.13062178296967797,73.95208,208.89999999999884
early,MONTHLY_MOM20,STRESS,2015-10-08,183,213945.44792,2016-02-01,264,82,-13087.186479999975,-0.06117067040797064,200858.26144000003,-0.11557925337644803,67.28648,184.0999999999945
early,MONTHLY_MOM20,STRESS,2016-04-01,303,200858.26144000003,2018-07-02,851,549,27781.826160000026,0.13831557617210066,228640.08760000006,-0.1425844463318242,380.47384,1099.5000000000161
early,MONTHLY_MOM20,STRESS,2018-08-01,873,228640.08760000006,2018-11-01,933,61,-12072.708639999997,-0.05280223939172424,216567.37896000006,-0.07157953328215927,90.50864000000001,264.80000000000024
early,MONTHLY_Z20,BASE,2015-01-05,0,200000.0,2015-10-08,183,184,12048.318760000053,0.06024159380000027,212048.31876000005,-0.13015892300256293,37.281240000000004,109.19999999998265
early,MONTHLY_Z20,BASE,2015-11-02,200,212048.31876000005,2015-12-01,221,22,949.3069200000027,0.004476842474164799,212997.62568000006,-0.02872296354909587,30.49308,85.20000000000954
early,MONTHLY_Z20,BASE,2016-01-04,244,212997.62568000006,2016-03-01,280,37,-21119.40804000001,-0.09915325568806599,191878.21764000005,-0.10396661018780229,33.60804,100.8000000000001
early,MONTHLY_Z20,BASE,2016-04-01,303,191878.21764000005,2016-05-03,323,21,-1433.660579999967,-0.007471721374282203,190444.55706000008,-0.017326224280207247,37.760580000000004,118.79999999998691
early,MONTHLY_Z20,BASE,2016-06-01,344,190444.55706000008,2018-04-02,791,448,39857.638479999994,0.20928735950927035,230302.19554000007,-0.10782447115531035,152.46152,451.6000000000029
early,MONTHLY_Z20,BASE,2018-06-01,831,230302.19554000007,2018-07-02,851,21,-9689.238480000029,-0.042071845894830595,220612.95706000004,-0.06401883039689349,54.43848,148.80000000001667
