model,feature,origin,origin_index,entry_date,label_exit_date,label_mature_date,observed_label,training_count,training_first_origin,training_last_origin,training_last_maturity,fit_status,mean_only_prediction,raw_feature,volatility,target,training_mean,training_scale,coefficient,intercept,current_standardized,prediction
MONTHLY_MOM20,mom20,2014-12-31,632,2015-01-05,2015-02-02,2015-02-02,-0.05799112097669257,29,2012-06-29,2014-10-31,2014-12-01,FIT_READY,0.007956025326493034,0.17574001705683023,0.4346678399525607,0.0,-0.0015516628326956833,0.06368195491302338,-0.0035657906069129367,0.007956025326493034,2.7840175467551265,-0.0019711982912071924
MONTHLY_Z20,z20,2014-12-31,632,2015-01-05,2015-02-02,2015-02-02,-0.05799112097669257,29,2012-06-29,2014-10-31,2014-12-01,FIT_READY,0.007956025326493034,1.9386194145717397,0.4346678399525607,0.23006072869553434,-0.131405226461082,1.240500455669802,0.0013274518252671694,0.007956025326493034,1.6687012339025076,0.010171145825262497
MONTHLY_LOGVOL20,logvol20,2014-12-31,632,2015-01-05,2015-02-02,2015-02-02,-0.05799112097669257,29,2012-06-29,2014-10-31,2014-12-01,FIT_READY,0.007956025326493034,-0.833173125889928,0.4346678399525607,0.0,-1.7406968775349123,0.26651130764701564,-0.007278155344046984,0.007956025326493038,3.0,-0.013878440705647916
MONTHLY_MOM20,mom20,2015-01-30,652,2015-02-02,2015-03-02,2015-03-02,0.06636904761904772,30,2012-06-29,2014-11-28,2015-01-05,FIT_READY,0.016376845235453703,-0.033456788085002215,0.46035002182974655,0.21722601337680283,0.002155333817401232,0.06578605493823912,0.0036622351307206064,0.016376845235453703,-0.5413323832206781,0.014394358764226225
MONTHLY_Z20,z20,2015-01-30,652,2015-02-02,2015-03-02,2015-03-02,0.06636904761904772,30,2012-06-29,2014-11-28,2015-01-05,FIT_READY,0.016376845235453703,-1.1223748034671832,0.46035002182974655,0.21722601337680283,-0.04443345220489728,1.3087018645035822,0.009467620141662605,0.016376845235453703,-0.8236722056411003,0.008578629671198358
MONTHLY_LOGVOL20,logvol20,2015-01-30,652,2015-02-02,2015-03-02,2015-03-02,0.06636904761904772,30,2012-06-29,2014-11-28,2015-01-05,FIT_READY,0.016376845235453703,-0.7757681618283929,0.46035002182974655,0.0,-1.7391053629116517,0.26202101773138864,-0.006397720263675847,0.016376845235453703,3.0,-0.0028163155555738367
MONTHLY_MOM20,mom20,2015-02-27,667,2015-03-02,2015-04-01,2015-04-01,0.12615126988557068,31,2012-06-29,2014-12-31,2015-02-02,FIT_READY,0.013977878583448986,-0.0002809383358835702,0.23080450957894474,0.43326709769418886,0.007754839728350555,0.07180204256641007,0.00039311181259235156,0.013977878583448986,-0.11191573076492628,0.013933883187670389
MONTHLY_Z20,z20,2015-02-27,667,2015-03-02,2015-04-01,2015-04-01,0.12615126988557068,31,2012-06-29,2014-12-31,2015-02-02,FIT_READY,0.013977878583448986,1.3070177613399303,0.23080450957894474,0.43326709769418886,0.019535995110478106,1.335090014581359,0.007223788786811672,0.013977878583448986,0.9643407951284579,0.020944072805962992
MONTHLY_LOGVOL20,logvol20,2015-02-27,667,2015-03-02,2015-04-01,2015-04-01,0.12615126988557068,31,2012-06-29,2014-12-31,2015-02-02,FIT_READY,0.013977878583448986,-1.466184205635501,0.23080450957894474,0.43326709769418886,-1.7098817423625639,0.30469842994858937,-0.008829096916737776,0.013977878583448983,0.7997991219324005,0.006916374621986045
MONTHLY_MOM20,mom20,2015-03-31,689,2015-04-01,2015-05-04,2015-05-04,0.1744733581164808,32,2012-06-29,2015-01-30,2015-03-02,FIT_READY,0.015615102615811446,0.14439932193039126,0.20366195366922013,0.49100972566734846,0.00646697635918328,0.07100915952331573,-8.26749132145445e-05,0.015615102615811446,1.9424585010884146,0.015454510027811107
MONTHLY_Z20,z20,2015-03-31,689,2015-04-01,2015-05-04,2015-05-04,0.1744733581164808,32,2012-06-29,2015-01-30,2015-03-02,FIT_READY,0.015615102615811446,1.3881030151050258,0.20366195366922013,0.49100972566734846,-0.016148717345073782,1.3288021761607602,0.006335248875454731,0.015615102615811446,1.056780126976712,0.022310067726843567
MONTHLY_LOGVOL20,logvol20,2015-03-31,689,2015-04-01,2015-05-04,2015-05-04,0.1744733581164808,32,2012-06-29,2015-01-30,2015-03-02,FIT_READY,0.015615102615811446,-1.5912937494867292,0.20366195366922013,0.49100972566734846,-1.6806906929708711,0.34221924787337665,-0.005412522959132724,0.015615102615811447,0.26122710525393766,0.01420120491107673
MONTHLY_MOM20,mom20,2015-04-30,710,2015-05-04,2015-06-01,2015-06-01,0.016670183583034293,33,2012-06-29,2015-02-27,2015-04-01,FIT_READY,0.018964683442167785,0.14557114442071672,0.23032657908190998,0.43416613227445827,0.006262494095696405,0.06990070576948328,-0.00024059150412700461,0.018964683442167785,1.9929505545255688,0.01848519647060373
MONTHLY_Z20,z20,2015-04-30,710,2015-05-04,2015-06-01,2015-06-01,0.016670183583034293,33,2012-06-29,2015-02-27,2015-04-01,FIT_READY,0.018964683442167785,1.1325181499692187,0.23032657908190998,0.43416613227445827,0.023947236554471795,1.328002351191462,0.007787035855930458,0.018964683442167785,0.834765776145016,0.02546503447231264
