period,model,cost,reused,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error,ending_shares,unfilled_requests,source
early,MONTHLY_MOM20,BASE,False,1219,257294.85836000004,57294.85836000004,0.05128066860550606,0.5197107451435424,0.10731601507140794,-0.19546856264037527,34,417.64164000000005,1225.1000000000022,0.5498008876113254,5.707079253625125e-11,59300,0.0,
early,MONTHLY_MOM20,STRESS,False,1219,255439.65552000006,55439.65552000006,0.04977146040304392,0.5061017486513978,0.107375257878579,-0.1967816639855826,34,832.14448,2362.50000000001,0.5499942254865563,5.547917680814862e-11,58900,0.0,
early,MONTHLY_Z20,BASE,False,1219,234083.03552000003,34083.035520000034,0.031732418364957216,0.35460347615097326,0.10309716477384072,-0.2167079273535636,39,620.06448,1754.400000000004,0.4877279274987127,5.354650056688115e-11,0,0.0,
early,MONTHLY_Z20,STRESS,False,1219,231636.03951999993,31636.039519999933,0.02958226702109812,0.33432618203031766,0.10311536140845609,-0.2189695644709746,39,1230.36048,3410.500000000021,0.4878408454760347,5.6630256040079985e-11,0,0.0,
early,MONTHLY_LOGVOL20,BASE,False,1219,252868.9815200001,52868.98152000009,0.047665628619184774,0.48838604511075917,0.10709364582008943,-0.21232908215375568,33,399.51848,1160.6000000000008,0.5625792733288958,5.411493475548923e-11,58300,0.0,
early,MONTHLY_LOGVOL20,STRESS,False,1219,251197.37855999992,51197.378559999925,0.046287069253530655,0.4760792238559989,0.10709663948978008,-0.21372693276468113,33,795.02144,2234.200000000028,0.5625236950452773,5.411493475548923e-11,57900,0.0,
early,MONTHLY_MEAN,BASE,False,1219,262784.6978800001,62784.69788000011,0.05569613696700304,0.5417186231584091,0.11155083783179685,-0.20646557483715056,32,316.30212000000006,918.4999999999905,0.5982267554730315,6.093614501878619e-11,60500,0.0,
early,MONTHLY_MEAN,STRESS,False,1219,261484.17963999993,61484.17963999993,0.05465686313423346,0.5331382148942462,0.11148459964359042,-0.2072419030240047,32,628.22036,1763.3000000000154,0.5980068137298136,5.3660187404602766e-11,60200,0.0,
early,MONTHLY_VOL10,BASE,False,1219,262784.6978800001,62784.69788000011,0.05569613696700304,0.5417186231584091,0.11155083783179685,-0.20646557483715056,32,316.30212000000006,918.4999999999905,0.5982267554730315,6.093614501878619e-11,60500,0.0,
early,MONTHLY_VOL10,STRESS,False,1219,261484.17963999993,61484.17963999993,0.05465686313423346,0.5331382148942462,0.11148459964359042,-0.2072419030240047,32,628.22036,1763.3000000000154,0.5980068137298136,5.3660187404602766e-11,60200,0.0,
early,BUY_HOLD,BASE,True,1219,244169.24552000003,44169.245520000026,0.040409305212863345,0.2842607920063479,0.25150799155827147,-0.4501919403512673,1,39.954480000000004,110.79999999998779,0.9631807683409372,4.729372449219227e-11,55400,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\early_BUY_HOLD_BASE\ledger.parquet
