period,model,cost,complete_cycles,total_profit,largest_profit_share,top_five_profit_share,unfinished_profit
early,MONTHLY_MOM20,BASE,4,57294.85836000004,0.4990646811680152,0.7448253717962414,39525.82320000001
early,MONTHLY_MOM20,STRESS,4,55439.65552000006,0.5011183042069522,0.7526611355827556,38872.27656
early,MONTHLY_Z20,BASE,10,34083.035520000034,1.169427484139768,2.3320165163504765,0.0
early,MONTHLY_Z20,STRESS,10,31636.039519999933,1.2383446194405339,2.460384228272077,0.0
early,MONTHLY_LOGVOL20,BASE,4,52868.98152000009,0.34647092289967,0.6915473744499697,37007.96880000003
early,MONTHLY_LOGVOL20,STRESS,4,51197.378559999925,0.3438969270539153,0.6952700165748485,36413.77191999997
early,MONTHLY_MEAN,BASE,0,62784.69788000011,,,62784.69788000011
early,MONTHLY_MEAN,STRESS,0,61484.17963999993,,,61484.17963999993
early,MONTHLY_VOL10,BASE,0,62784.69788000011,,,62784.69788000011
early,MONTHLY_VOL10,STRESS,0,61484.17963999993,,,61484.17963999993
early,BUY_HOLD,BASE,0,44169.245520000026,,,44169.245520000026
early,BUY_HOLD,STRESS,0,44018.44672000001,,,44018.44672000001
early,ETF_VOL10,BASE,0,86636.74690000014,,,86636.74690000014
early,ETF_VOL10,STRESS,0,83538.13156000001,,,83538.13156000001
main,MONTHLY_MOM20,BASE,16,-33275.05275999999,,,0.0
main,MONTHLY_MOM20,STRESS,16,-35896.94847999996,,,0.0
main,MONTHLY_Z20,BASE,10,-39097.15347999998,,,0.0
main,MONTHLY_Z20,STRESS,10,-40896.41008,,,0.0
main,MONTHLY_LOGVOL20,BASE,10,-29346.69391999996,,,0.0
main,MONTHLY_LOGVOL20,STRESS,10,-31361.630440000008,,,0.0
main,MONTHLY_MEAN,BASE,8,-46381.44115999999,,,0.0
main,MONTHLY_MEAN,STRESS,8,-47665.66803999999,,,0.0
main,MONTHLY_VOL10,BASE,0,86208.55015999998,,,86208.55015999998
main,MONTHLY_VOL10,STRESS,0,83600.76651999995,,,83600.76651999995
main,BUY_HOLD,BASE,0,45794.88935999997,,,45794.88935999997
main,BUY_HOLD,STRESS,0,45658.139999999985,,,45658.139999999985
main,ETF_VOL10,BASE,0,14724.500159999909,,,14724.500159999909
main,ETF_VOL10,STRESS,0,12038.813719999918,,,12038.813719999918
