period,model,cost,year,partial_year,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error
early,MONTHLY_MOM20,BASE,2015,False,244,222193.16594,22193.165940000006,0.11000799152786578,0.9553633906880502,0.11634157918905906,-0.1304376309462063,5,49.93406,149.09999999999792,0.2801215239542717,4.1154635255225e-11
early,MONTHLY_MOM20,BASE,2016,False,244,207759.0048,-14434.161140000011,-0.06444728283554024,-0.6036416851769105,0.10177251275107915,-0.1249791656845951,8,79.16114000000002,246.99999999998457,0.5993508595051998,4.1730174871190684e-11
early,MONTHLY_MOM20,BASE,2017,False,244,250673.59071999998,42914.58592000001,0.2047038369670835,1.959781626077412,0.09747956045434605,-0.05881029961222506,6,62.814080000000004,194.0000000000101,0.8976342980982166,5.707079253625125e-11
early,MONTHLY_MOM20,BASE,2018,False,243,217769.03516000003,-32904.55555999995,-0.13076133423015546,-1.228616343666665,0.1091717873266911,-0.1898614111655592,6,115.35556000000001,331.20000000000584,0.3992539560536888,5.4569682106375694e-11
early,MONTHLY_MOM20,BASE,2019,False,244,257294.85836000004,39525.82320000001,0.17988926903653946,1.5580736135131679,0.11004959737908611,-0.07031350961599514,9,110.3768,303.8000000000039,0.5720268048241123,4.718003765447065e-11
early,MONTHLY_MOM20,STRESS,2015,False,244,222006.21644000002,22006.21644000002,0.1090817020003334,0.9478363256130504,0.11639031055603372,-0.13062178296967797,5,99.88355999999999,286.0999999999989,0.2802576618215511,4.1154635255225e-11
early,MONTHLY_MOM20,STRESS,2016,False,244,207261.78132,-14744.43512000001,-0.06588847671692799,-0.6184919225469631,0.10181377137632319,-0.12591152882223322,8,157.33512000000002,466.4999999999948,0.5997874466366473,5.161382432561368e-11
early,MONTHLY_MOM20,STRESS,2017,False,244,249814.3474,42552.56607999996,0.20346485474776288,1.9496326036010572,0.09745773145307546,-0.059085895403612976,6,124.73392000000001,360.69999999999743,0.8974308071713049,5.547917680814862e-11
early,MONTHLY_MOM20,STRESS,2018,False,243,216567.37896000006,-33246.96843999994,-0.13257705203692205,-1.2449130454873591,0.1094011173703828,-0.19129178801094915,6,230.26844000000003,644.0000000000186,0.3997979068577962,4.9112713895738125e-11
early,MONTHLY_MOM20,STRESS,2019,False,244,255439.65552000006,38872.27656,0.1778978068946242,1.5429034976326295,0.11003492790153879,-0.07084762971978764,9,219.92344000000003,605.2000000000005,0.5720817462625774,4.1382008930668235e-11
early,MONTHLY_Z20,BASE,2015,False,244,212997.62568000006,12997.625680000056,0.06443863461798571,0.5882420234799567,0.11799760532912375,-0.13015892300256293,6,67.77432000000002,194.3999999999922,0.26566858113891156,4.069988790433854e-11
early,MONTHLY_Z20,BASE,2016,False,244,197479.09754000005,-15518.52814000001,-0.07228268241948943,-0.7396424014905545,0.09528032587803363,-0.12271882738857387,9,110.02814000000001,337.1999999999894,0.5468039054487622,4.18367562815547e-11
early,MONTHLY_Z20,BASE,2017,False,244,238262.16550000006,40783.067960000015,0.20466318883153778,1.9594022023644866,0.09748129912093689,-0.05884807236668754,6,60.43204000000001,185.20000000000962,0.8974950193577715,5.354650056688115e-11
early,MONTHLY_Z20,BASE,2018,False,243,210593.65442000006,-27668.511079999997,-0.11567721947002096,-1.1088738369172755,0.10578014754083176,-0.18133803168494245,8,151.71108,425.20000000000016,0.33828749916256373,3.4788172342814505e-11
early,MONTHLY_Z20,BASE,2019,False,244,234083.03552000003,23489.38109999997,0.11057585701189776,1.1321271520798086,0.09673515428985809,-0.05537653454147806,10,230.11890000000002,612.4000000000124,0.38977217161368516,4.581579560181126e-11
early,MONTHLY_Z20,STRESS,2015,False,244,212747.45135999995,12747.451359999919,0.06319865020512716,0.5782689517437429,0.11802133555439792,-0.13034404393971843,6,135.54864,376.8000000000085,0.2657759722186054,4.069988790433854e-11
early,MONTHLY_Z20,STRESS,2016,False,244,196799.22327999992,-15948.22808000003,-0.0743721797864928,-0.7619014680822187,0.09543548708006311,-0.1244658587951416,9,218.42808000000002,647.6000000000104,0.5470489130968385,3.512923285597935e-11
early,MONTHLY_Z20,STRESS,2017,False,244,237213.9042799999,40414.68099999998,0.20351600479631227,1.9497191934348843,0.09747612595853408,-0.05908007408845484,6,118.619,342.9999999999975,0.8976228027123618,5.6630256040079985e-11
early,MONTHLY_Z20,STRESS,2018,False,243,209144.53107999993,-28069.3732,-0.11787232426993521,-1.131272695749436,0.10587281585321529,-0.18311198729666067,8,301.77320000000003,829.5000000000034,0.3384616854860444,3.319655661471188e-11
