period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,month_first_attempts,valid_risk_updates,mean_reference_budget,reference_only_budget_origins,runs_only_budget_origins,mean_target
evaluation,RUNS_COVARIANCE_BUDGET,BASE,1604,445,1159,0,80,50,0.5720378438638238,0,0,0.06273300386565762
evaluation,RUNS_COVARIANCE_BUDGET,STRESS,1604,445,1159,0,80,50,0.5720378438638238,0,0,0.06273300386565762
earlier_diagnostic,RUNS_COVARIANCE_BUDGET,BASE,1219,389,830,0,60,43,0.4198630259475259,0,125,0.10393197098402725
earlier_diagnostic,RUNS_COVARIANCE_BUDGET,STRESS,1219,395,824,0,60,43,0.4198630259475259,0,125,0.10577461540752613
