period,origin,status,sample_count,window_start,window_end,independent_budget_reference,saved_budget_reference,budget_absolute_error,whole_window_at_or_before_origin
evaluation,2019-12-31,INITIAL_HALF,0,,,0.5,0.5,0.0,True
evaluation,2020-01-02,INSUFFICIENT_WINDOW,1,2020-01-02,2020-01-02,0.5,0.5,0.0,True
evaluation,2020-02-03,INSUFFICIENT_WINDOW,17,2020-01-02,2020-02-03,0.5,0.5,0.0,True
evaluation,2020-03-02,INSUFFICIENT_WINDOW,37,2020-01-02,2020-03-02,0.5,0.5,0.0,True
evaluation,2020-04-01,INSUFFICIENT_WINDOW,59,2020-01-02,2020-04-01,0.5,0.5,0.0,True
evaluation,2020-05-06,INSUFFICIENT_WINDOW,80,2020-01-02,2020-05-06,0.5,0.5,0.0,True
evaluation,2020-06-01,INSUFFICIENT_WINDOW,98,2020-01-02,2020-06-01,0.5,0.5,0.0,True
evaluation,2020-07-01,INSUFFICIENT_WINDOW,118,2020-01-02,2020-07-01,0.5,0.5,0.0,True
evaluation,2020-08-03,INSUFFICIENT_WINDOW,141,2020-01-02,2020-08-03,0.5,0.5,0.0,True
evaluation,2020-09-01,INSUFFICIENT_WINDOW,162,2020-01-02,2020-09-01,0.5,0.5,0.0,True
evaluation,2020-10-09,INSUFFICIENT_WINDOW,184,2020-01-02,2020-10-09,0.5,0.5,0.0,True
evaluation,2020-11-02,INSUFFICIENT_WINDOW,200,2020-01-02,2020-11-02,0.5,0.5,0.0,True
evaluation,2020-12-01,INSUFFICIENT_WINDOW,221,2020-01-02,2020-12-01,0.5,0.5,0.0,True
evaluation,2021-01-04,UPDATED,242,2020-01-06,2021-01-04,0.25072607382832657,0.2507260738283265,5.551115123125783e-17,True
evaluation,2021-02-01,UPDATED,242,2020-02-11,2021-02-01,0.31885236431145253,0.3188523643114526,5.551115123125783e-17,True
evaluation,2021-03-01,UPDATED,242,2020-03-03,2021-03-01,0.33632441883014996,0.33632441883015,5.551115123125783e-17,True
evaluation,2021-04-01,UPDATED,242,2020-04-03,2021-04-01,0.33632441883014996,0.3363244188301499,5.551115123125783e-17,True
evaluation,2021-05-06,UPDATED,242,2020-05-08,2021-05-06,0.33632441883014996,0.3363244188301499,5.551115123125783e-17,True
evaluation,2021-06-01,UPDATED,242,2020-06-03,2021-06-01,0.33632441883014996,0.3363244188301499,5.551115123125783e-17,True
evaluation,2021-07-01,UPDATED,242,2020-07-06,2021-07-01,0.37151729155830426,0.3715172915583042,5.551115123125783e-17,True
evaluation,2021-08-02,UPDATED,242,2020-08-05,2021-08-02,0.5463286843405933,0.5463286843405933,0.0,True
evaluation,2021-09-01,UPDATED,242,2020-09-04,2021-09-01,0.524711350562809,0.524711350562809,0.0,True
evaluation,2021-10-08,UPDATED,242,2020-10-12,2021-10-08,0.6224136974722785,0.6224136974722785,0.0,True
evaluation,2021-11-01,UPDATED,242,2020-11-03,2021-11-01,0.622186433197427,0.6221864331974268,1.1102230246251565e-16,True
evaluation,2021-12-01,UPDATED,242,2020-12-03,2021-12-01,0.6173939659918618,0.6173939659918618,0.0,True
evaluation,2022-01-04,UPDATED,242,2021-01-06,2022-01-04,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2022-02-07,DEGENERATE_RISK,242,2021-02-02,2022-02-07,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2022-03-01,DEGENERATE_RISK,242,2021-03-03,2022-03-01,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2022-04-01,DEGENERATE_RISK,242,2021-04-06,2022-04-01,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2022-05-05,DEGENERATE_RISK,242,2021-05-06,2022-05-05,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2022-06-01,DEGENERATE_RISK,242,2021-06-02,2022-06-01,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2022-07-01,DEGENERATE_RISK,242,2021-07-02,2022-07-01,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2022-08-01,DEGENERATE_RISK,242,2021-08-02,2022-08-01,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2022-09-01,DEGENERATE_RISK,242,2021-09-02,2022-09-01,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2022-10-10,DEGENERATE_RISK,242,2021-10-12,2022-10-10,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2022-11-01,DEGENERATE_RISK,242,2021-11-03,2022-11-01,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2022-12-01,DEGENERATE_RISK,242,2021-12-03,2022-12-01,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2023-01-03,DEGENERATE_RISK,242,2022-01-05,2023-01-03,0.38048688338934505,0.3804868833893449,1.6653345369377348e-16,True
evaluation,2023-02-01,UPDATED,242,2022-01-27,2023-02-01,0.6275988033570093,0.6275988033570096,2.220446049250313e-16,True
