period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,auxiliary_allowed_origins,auxiliary_blocked_origins,full_weight_origins,mean_target
evaluation,CORE_AUXILIARY_DRAWDOWN_GATE,BASE,1604,437,1167,0,883,721,38,0.1273060904795035
evaluation,CORE_AUXILIARY_DRAWDOWN_GATE,STRESS,1604,437,1167,0,883,721,38,0.1273060904795035
earlier_diagnostic,CORE_AUXILIARY_DRAWDOWN_GATE,BASE,1219,430,789,0,676,543,39,0.21233202733300993
earlier_diagnostic,CORE_AUXILIARY_DRAWDOWN_GATE,STRESS,1219,436,783,0,676,543,39,0.21646551397869454
