period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
evaluation,BASE,EPISODE_START_CONFIRMED_AUXILIARY,14161.599159999983,11748.400000000023,3428.5,235.7008400000002,779.6000000000113,0.12449469943308267
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,12382.580359999905,9119.300000000017,3428.5,52.319639999999936,112.89999999999509,0.11090437815885967
evaluation,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,1087.2352399998344,1076.2000000000116,21.100000000000364,2.664760000000115,7.400000000005093,0.0185980053884669
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,60215.339020000014,58001.5,5591.699999999999,812.5609800000002,2565.3000000000284,0.3165519186893666
evaluation,BASE,RETURN_RUNS_STATE,81785.51670000021,82784.1,3942.2999999999993,1239.3833,3701.499999999951,0.6001496920944436
evaluation,BASE,BUY_HOLD,73366.3474200001,95835.69999999997,-15486.100000000002,1731.4525800000001,5251.79999999997,1.319644216349183
evaluation,STRESS,EPISODE_START_CONFIRMED_AUXILIARY,13035.108119999873,11447.500000000015,3381.8,462.19187999999986,1332.0,0.11746868222453188
evaluation,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,12043.081040000077,9004.5,3381.8,102.91895999999997,240.30000000002474,0.11151232064359484
evaluation,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,1085.8340800000587,1101.6000000000058,0.0,4.565919999999551,11.199999999998909,0.01856301437144725
evaluation,STRESS,TREND_NOISE_REFERENCE_BLEND,56429.8946,57008.399999999994,5504.4,1594.2053999999998,4488.699999999987,0.3026438680818484
evaluation,STRESS,RETURN_RUNS_STATE,76546.87799999982,81714.59999999999,3840.3,2414.1220000000003,6593.900000000025,0.5710435775313831
evaluation,STRESS,BUY_HOLD,66208.0003199999,94558.59999999996,-15594.500000000002,3389.79968,9366.300000000021,1.2475842122845455
earlier_diagnostic,BASE,EPISODE_START_CONFIRMED_AUXILIARY,-26904.980299999763,-25530.60000000002,0.0,296.5803000000003,1077.799999999922,-0.2426725639763193
earlier_diagnostic,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,-26904.980299999763,-25530.60000000002,0.0,296.5803000000003,1077.799999999922,-0.2426725639763193
earlier_diagnostic,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,-21397.20579999982,-20157.10000000002,0.0,262.3058000000001,977.7999999999411,-0.18127950056889996
earlier_diagnostic,BASE,TREND_NOISE_REFERENCE_BLEND,10735.554560000193,14958.399999999958,574.0000000000001,1142.2454400000001,3654.5999999999176,-0.16670120318720183
earlier_diagnostic,BASE,RETURN_RUNS_STATE,41313.74874000013,44893.19999999997,574.0000000000001,998.7512600000002,3154.69999999996,0.24358768218114923
earlier_diagnostic,BASE,BUY_HOLD,27087.83318000016,49516.899999999936,-15845.199999999997,1604.0668200000002,4979.79999999995,0.5766994905028303
earlier_diagnostic,STRESS,EPISODE_START_CONFIRMED_AUXILIARY,-28413.86792000034,-26066.20000000001,0.0,574.8679200000001,1772.8000000000266,-0.25687886087500245
earlier_diagnostic,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,-28413.86792000034,-26066.20000000001,0.0,574.8679200000001,1772.8000000000266,-0.25687886087500245
earlier_diagnostic,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,-22718.49116000044,-20634.40000000001,0.0,508.3911600000006,1575.7000000000262,-0.19441685740354908
earlier_diagnostic,STRESS,TREND_NOISE_REFERENCE_BLEND,6512.921719999809,14722.099999999955,574.0000000000001,2253.9782800000003,6529.199999999968,-0.2115537991689901
earlier_diagnostic,STRESS,RETURN_RUNS_STATE,42705.05259999973,49870.099999999984,574.0000000000001,1978.0474000000002,5761.000000000023,0.27926767597166247
earlier_diagnostic,STRESS,BUY_HOLD,25717.19423999978,53876.89999999995,-15845.199999999997,3172.2057600000003,9142.299999999981,0.5545283294831607
