model,period,cost,net_sharpe,cycles,holding_closes,gross_price_dividend_profit,commission_and_slippage,net_profit
ADD_GATE_EXPOSURE_105,evaluation,BASE,1.2343113249012492,43,614,214430.69999999998,12627.385199999833,201803.31480000052
ADD_GATE_EXPOSURE_105,evaluation,STRESS,1.1785689629556637,43,614,211246.09999999998,22481.552000000032,188764.54799999984
ADD_GATE_EXPOSURE_105,earlier_diagnostic,BASE,1.2253899256949647,24,523,139918.50000000003,6617.541520000082,133300.9584800001
ADD_GATE_EXPOSURE_105,earlier_diagnostic,STRESS,1.2397732998219992,24,529,148438.7,12496.132799999985,135942.5672
ADD_GATE_EXPOSURE_110,evaluation,BASE,1.2334996095120065,43,614,217247.59999999998,13011.040559999834,204236.5594400001
ADD_GATE_EXPOSURE_110,evaluation,STRESS,1.1695599574818034,43,614,212507.2,23328.95648000003,189178.24351999996
ADD_GATE_EXPOSURE_110,earlier_diagnostic,BASE,1.2578061975546886,24,523,150268.1,6953.1129800000845,143314.98702000006
ADD_GATE_EXPOSURE_110,earlier_diagnostic,STRESS,1.272547657729284,24,529,159471.2,13136.793559999984,146334.40644
ADD_GATE_EXPOSURE_115,evaluation,BASE,1.2335406077226172,43,614,219542.2,13303.64251999983,206238.55748000013
ADD_GATE_EXPOSURE_115,evaluation,STRESS,1.1687570576643895,43,614,214249.4,23627.518240000023,190621.88175999973
ADD_GATE_EXPOSURE_115,earlier_diagnostic,BASE,1.2517365637776705,24,523,155249.9,7149.257440000087,148100.64256
ADD_GATE_EXPOSURE_115,earlier_diagnostic,STRESS,1.265632775230668,24,529,164805.9,13539.039199999985,151266.8607999999
ADD_GATE_EXPOSURE_120,evaluation,BASE,1.2237483890752117,43,614,218699.30000000002,13368.936239999832,205330.3637600004
ADD_GATE_EXPOSURE_120,evaluation,STRESS,1.1658942819888862,43,614,215290.7,23831.44572000002,191459.25427999994
ADD_GATE_EXPOSURE_120,earlier_diagnostic,BASE,1.2224610868727621,24,523,159257.30000000002,7301.057960000094,151956.2420399994
ADD_GATE_EXPOSURE_120,earlier_diagnostic,STRESS,1.2346823755393106,24,529,168907.5,13856.107479999984,155051.39252000017
