period,cost,model,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,ADD_GATE_EXPOSURE_105,614,56,54,0,0,0.1812307782216452
evaluation,BASE,ADD_GATE_EXPOSURE_110,614,56,54,0,0,0.18562593385055462
evaluation,BASE,ADD_GATE_EXPOSURE_115,614,56,54,0,0,0.18941119734419698
evaluation,BASE,ADD_GATE_EXPOSURE_120,614,54,55,0,0,0.19080595691358695
evaluation,STRESS,ADD_GATE_EXPOSURE_105,614,56,54,0,0,0.18164913583116157
evaluation,STRESS,ADD_GATE_EXPOSURE_110,614,56,55,0,0,0.1858245482991475
evaluation,STRESS,ADD_GATE_EXPOSURE_115,614,55,55,0,0,0.1890456283122858
evaluation,STRESS,ADD_GATE_EXPOSURE_120,614,54,55,0,0,0.19141280121801227
earlier_diagnostic,BASE,ADD_GATE_EXPOSURE_105,523,29,32,0,0,0.2755743058559905
earlier_diagnostic,BASE,ADD_GATE_EXPOSURE_110,523,29,32,0,0,0.2840682589057389
earlier_diagnostic,BASE,ADD_GATE_EXPOSURE_115,523,29,32,0,0,0.29105721260125805
earlier_diagnostic,BASE,ADD_GATE_EXPOSURE_120,523,29,31,0,0,0.2988907195494706
earlier_diagnostic,STRESS,ADD_GATE_EXPOSURE_105,529,29,32,0,0,0.27682367947641323
earlier_diagnostic,STRESS,ADD_GATE_EXPOSURE_110,529,29,32,0,0,0.2855301536686072
earlier_diagnostic,STRESS,ADD_GATE_EXPOSURE_115,529,29,32,0,0,0.2934464559330741
earlier_diagnostic,STRESS,ADD_GATE_EXPOSURE_120,529,29,31,0,0,0.3020257667189114
