model,period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
ADD_GATE_EXPOSURE_105,evaluation,BASE,24,2023-10-18,2023-10-17,6666.8,-34.19999999999982,10.0,7.200000000000806,0.0,10,1,1,2023-11-01,2023-10-31,False,-51.400000000000624,-0.0077098458030840315
ADD_GATE_EXPOSURE_105,evaluation,BASE,25,2023-11-29,2023-11-28,6822.2,-197.59999999999945,10.0,7.6000000000008505,0.0,10,1,1,2023-12-13,2023-12-12,False,-215.2000000000003,-0.0315440766908036
ADD_GATE_EXPOSURE_105,evaluation,BASE,26,2024-02-19,2024-02-08,251272.34442,4063.0999999999767,101.24274000000001,293.59999999998854,0.0,5,2,1,2024-02-26,2024-02-23,False,3668.257259999988,0.014598730586397208
ADD_GATE_EXPOSURE_105,evaluation,BASE,27,2024-03-05,2024-03-04,269456.08044,6894.0,109.07840000000002,306.39999999996627,0.0,54,1,1,2024-05-27,2024-05-24,False,6478.521600000034,0.024042959392199026
ADD_GATE_EXPOSURE_105,evaluation,BASE,28,2024-06-04,2024-06-03,143766.71208,3939.399999999994,61.81372,165.60000000000016,0.0,32,2,1,2024-07-19,2024-07-18,False,3711.9862799999937,0.025819511528749665
ADD_GATE_EXPOSURE_105,evaluation,BASE,29,2024-08-02,2024-08-01,237886.96788,-4053.3000000000175,94.27014000000001,274.80000000000024,0.0,3,1,1,2024-08-07,2024-08-06,False,-4422.370140000017,-0.018590216098894677
ADD_GATE_EXPOSURE_105,evaluation,BASE,30,2024-08-28,2024-08-27,275547.49847999995,-10185.2,111.72703999999999,326.79999999999933,0.0,15,1,2,2024-09-20,2024-09-19,False,-10623.72704,-0.038554975452884034
ADD_GATE_EXPOSURE_105,evaluation,BASE,31,2024-09-25,2024-09-24,265369.0632,88692.0,123.78880000000001,379.99999999995816,0.0,4,1,1,2024-10-08,2024-09-30,False,88188.21120000005,0.33232287945160915
ADD_GATE_EXPOSURE_105,evaluation,BASE,32,2024-10-09,2024-10-08,121374.67008000001,-6933.5,47.1195,169.80000000000643,0.0,10,1,1,2024-10-23,2024-10-22,False,-7150.419500000006,-0.05891195827998584
ADD_GATE_EXPOSURE_105,evaluation,BASE,33,2025-01-08,2025-01-07,8910.6,105.79999999999927,10.0,9.199999999998987,0.0,10,1,1,2025-01-22,2025-01-21,False,86.60000000000028,0.00971876192400066
ADD_GATE_EXPOSURE_105,evaluation,BASE,34,2025-04-09,2025-04-08,346014.28902,14490.100000000035,141.20182,371.20000000004154,0.0,11,2,1,2025-04-24,2025-04-23,False,13977.698179999994,0.040396303342235866
ADD_GATE_EXPOSURE_105,evaluation,BASE,35,2025-06-03,2025-05-30,362290.24356,19262.79999999999,148.64452,475.80000000001866,1795.1999999999998,41,3,1,2025-07-30,2025-07-29,False,20433.55547999997,0.05640106473531327
ADD_GATE_EXPOSURE_105,evaluation,BASE,36,2025-09-05,2025-09-04,380362.25724,15542.799999999988,155.12056,512.3999999999436,0.0,7,1,1,2025-09-16,2025-09-15,False,14875.279440000046,0.03910819003951299
ADD_GATE_EXPOSURE_105,evaluation,BASE,37,2025-11-26,2025-11-25,10131.6,244.20000000000073,10.0,13.2000000000005,0.0,8,1,1,2025-12-08,2025-12-05,False,221.00000000000023,0.02181294168739392
ADD_GATE_EXPOSURE_105,evaluation,BASE,38,2025-12-19,2025-12-18,319444.47611999995,4004.899999999994,128.47138,409.1999999999712,6137.7,35,1,3,2026-02-10,2026-02-09,False,9604.928620000022,0.030067599655070925
ADD_GATE_EXPOSURE_105,evaluation,BASE,39,2026-03-25,2026-03-24,10384.9,144.90000000000146,10.0,13.800000000000523,0.0,10,1,1,2026-04-09,2026-04-08,False,121.10000000000093,0.011661161879267103
ADD_GATE_EXPOSURE_105,evaluation,BASE,40,2026-05-06,2026-04-30,392519.88827999996,-1853.7999999999884,156.50908,483.6000000000183,0.0,9,1,1,2026-05-19,2026-05-18,False,-2493.9090800000067,-0.00635358654290914
ADD_GATE_EXPOSURE_105,evaluation,BASE,41,2026-06-05,2026-06-04,401881.96031999995,3153.399999999965,161.25316,490.79999999999364,0.0,12,1,2,2026-06-24,2026-06-23,False,2501.346839999971,0.006224083405008437
ADD_GATE_EXPOSURE_105,evaluation,BASE,42,2026-07-21,2026-07-20,350611.54850000003,-4914.800000000023,145.05300000000005,448.1999999999526,0.0,10,2,2,2026-08-04,2026-08-03,False,-5508.052999999975,-0.01570984476570935
ADD_GATE_EXPOSURE_105,evaluation,BASE,43,2026-08-07,2026-08-06,305675.22282,2011.899999999965,122.57014000000001,389.40000000001476,0.0,5,1,1,2026-08-14,2026-08-13,True,1499.9298599999502,0.004906939614412907
ADD_GATE_EXPOSURE_105,evaluation,STRESS,1,2020-01-02,2019-12-31,179096.61,-1345.3999999999942,142.50824,433.99999999999073,0.0,14,1,1,2020-01-22,2020-01-21,False,-1921.908239999985,-0.010731125731525489
ADD_GATE_EXPOSURE_105,evaluation,STRESS,2,2020-02-05,2020-02-04,131117.22592,9985.800000000017,108.72160000000002,311.4000000000118,0.0,19,1,2,2020-03-03,2020-03-02,False,9565.678400000004,0.0729551615577683
ADD_GATE_EXPOSURE_105,evaluation,STRESS,3,2020-03-23,2020-03-20,4966.6,308.0,10.0,11.199999999999388,0.0,10,1,1,2020-04-07,2020-04-03,False,286.80000000000064,0.05774574155357803
ADD_GATE_EXPOSURE_105,evaluation,STRESS,4,2020-07-01,2020-06-30,204501.768,24947.600000000006,173.32144,484.000000000006,0.0,5,2,1,2020-07-08,2020-07-07,False,24290.27856,0.11877784137298998
ADD_GATE_EXPOSURE_105,evaluation,STRESS,5,2020-08-19,2020-08-18,80420.1552,-2409.0,63.2808,164.99999999999648,0.0,31,1,1,2020-10-09,2020-09-30,False,-2637.2807999999964,-0.03279377904010805
ADD_GATE_EXPOSURE_105,evaluation,STRESS,6,2020-12-15,2020-12-14,229229.05496,24134.399999999965,192.76216,503.8000000000055,1900.8,25,1,2,2021-01-20,2021-01-19,False,25338.63783999996,0.11053850849937631
