model,period,cost,suppressed_buy_requests,suppressed_initial_entry_requests,suppressed_addition_requests,fills
ADD_GATE_EXPOSURE_105,evaluation,BASE,81,0,81,110
ADD_GATE_EXPOSURE_105,evaluation,STRESS,84,0,84,110
ADD_GATE_EXPOSURE_105,earlier_diagnostic,BASE,10,0,10,61
ADD_GATE_EXPOSURE_105,earlier_diagnostic,STRESS,11,0,11,61
ADD_GATE_EXPOSURE_110,evaluation,BASE,84,0,84,110
ADD_GATE_EXPOSURE_110,evaluation,STRESS,85,0,85,111
ADD_GATE_EXPOSURE_110,earlier_diagnostic,BASE,10,0,10,61
ADD_GATE_EXPOSURE_110,earlier_diagnostic,STRESS,10,0,10,61
ADD_GATE_EXPOSURE_115,evaluation,BASE,86,0,86,110
ADD_GATE_EXPOSURE_115,evaluation,STRESS,69,0,69,110
ADD_GATE_EXPOSURE_115,earlier_diagnostic,BASE,10,0,10,61
ADD_GATE_EXPOSURE_115,earlier_diagnostic,STRESS,10,0,10,61
ADD_GATE_EXPOSURE_120,evaluation,BASE,68,0,68,109
ADD_GATE_EXPOSURE_120,evaluation,STRESS,68,0,68,109
ADD_GATE_EXPOSURE_120,earlier_diagnostic,BASE,10,0,10,60
ADD_GATE_EXPOSURE_120,earlier_diagnostic,STRESS,10,0,10,60
