model,period,cost,positive_target_sell_requests,nonnegative_return_sell_requests,zero_target_sell_requests
ADD_GATE_BAND20_LOWER01,evaluation,BASE,13,8,42
ADD_GATE_BAND20_LOWER01,evaluation,STRESS,13,8,42
ADD_GATE_BAND20_LOWER01,earlier_diagnostic,BASE,7,4,23
ADD_GATE_BAND20_LOWER01,earlier_diagnostic,STRESS,7,4,23
ADD_GATE_EXPOSURE_105,evaluation,BASE,11,7,42
ADD_GATE_EXPOSURE_105,evaluation,STRESS,11,7,42
ADD_GATE_EXPOSURE_105,earlier_diagnostic,BASE,8,4,23
ADD_GATE_EXPOSURE_105,earlier_diagnostic,STRESS,8,4,23
