model,period,cost,origin,source_target,normal_requested_quantity,own_shares,observed_daily_return,return_threshold
ADD_GATE_EXPOSURE_105,evaluation,BASE,2020-09-28,0.6466987552137977,15300,16600,0.002155636990730736,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2020-09-29,0.6131790133617662,13600,16600,0.0023661002366099915,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-06-08,0.9009603969717114,41200,3000,-0.00794100964265454,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-06-09,0.8993896167039194,41100,3000,0.0015246807699638154,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-06-10,0.8994607346595288,40800,3000,0.006470028544243611,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-06-11,0.5277961950045685,22900,3000,-0.009264511249763574,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-06-30,0.27789307122968615,12500,1000,0.005933014354067012,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-11-10,0.5612476224980963,18300,11800,-0.0050844010575553655,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-11-24,0.9140894254363181,19200,29000,0.002206177296430134,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-11-25,0.9143752820558966,19300,29000,-0.0038022813688213253,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-11-26,0.9142012033686527,19500,29000,-0.008437123342707853,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-11-29,0.9141721362925003,19500,29000,-0.0014181523500810256,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-11-30,0.9140973212271273,19600,29000,-0.0036518563603166188,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-12-01,0.9141513646172742,19600,29000,0.0026471187130931995,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-12-02,0.9141929000682141,19500,29000,0.002030869212022779,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-12-03,0.9143794200470949,19300,29000,0.00912038913660318,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-12-06,0.9143587269653983,19300,29000,-0.0010042177144005127,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2021-12-07,0.9144745077548513,19200,29000,0.005629272215520675,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2022-05-13,0.9264609345742207,46700,15600,0.007846114907618329,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2022-05-16,0.9258907586894454,47100,15600,-0.007785032646911105,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2022-06-07,0.9203798967127195,54400,5700,0.001436781609195359,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2022-08-09,0.9454993474689815,59500,1700,0.0016650808753568835,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2022-08-10,0.9440280488901724,60000,1700,-0.010686297791498434,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-02-19,0.9428677464233286,47700,26500,0.00803093396787613,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-02-20,0.9423986504363052,47500,26500,0.0035408675125405686,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-06-17,0.731513818203108,55100,2000,-0.002813731007315634,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-06-18,0.7151028042464286,53600,2000,0.003103837471783333,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-06-19,0.7144984907209267,53700,2000,-0.002812939521800395,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-06-20,0.7130946924316118,54000,2000,-0.006488011283497963,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-06-21,0.7127265381692529,54000,2000,-0.0017035775127767216,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-06-24,0.6797856739936087,51700,2000,-0.004835039817974951,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-06-25,0.5531876256864762,41900,2000,-0.0060017147756501465,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-06-26,0.5548765975715323,41800,2000,0.006037952846463357,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-06-27,0.5535159014686905,41900,2000,-0.005430122892254974,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-06-28,0.5540180998231461,41900,2000,0.0020114942528735025,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-07-01,0.5226495551366953,39200,2000,0.0040149125322626045,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-07-02,0.5223296945666627,39300,2000,-0.00142816338189089,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-07-03,0.5218828651667413,39300,2000,-0.0017162471395880674,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-07-04,0.5207624482760265,39400,2000,-0.004297994269340966,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-07-05,0.5194868368558687,39500,2000,-0.004892086330935186,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-07-08,0.5176753872776647,39600,2000,-0.006940427993059606,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-07-16,0.7751742726897812,19700,41400,0.007090187180941676,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2024-07-17,0.7366552760446246,16600,41400,0.0014080540692762433,0.01
ADD_GATE_EXPOSURE_105,evaluation,BASE,2025-04-09,1.0,25300,67900,0.00965147453083115,0.01
