period,model,cost,decision_origins,positive_source_origins,zero_source_origins,unknown_source_origins,addition_allowed_origins,rebalance_band,direction,return_threshold
evaluation,ADD_GATE_EXPOSURE_105,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,ADD_GATE_EXPOSURE_110,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,ADD_GATE_EXPOSURE_115,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,ADD_GATE_EXPOSURE_120,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,ADD_GATE_EXPOSURE_105,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,ADD_GATE_EXPOSURE_110,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,ADD_GATE_EXPOSURE_115,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,ADD_GATE_EXPOSURE_120,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
earlier_diagnostic,ADD_GATE_EXPOSURE_105,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,ADD_GATE_EXPOSURE_110,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,ADD_GATE_EXPOSURE_115,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,ADD_GATE_EXPOSURE_120,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,ADD_GATE_EXPOSURE_105,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
earlier_diagnostic,ADD_GATE_EXPOSURE_110,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
earlier_diagnostic,ADD_GATE_EXPOSURE_115,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
earlier_diagnostic,ADD_GATE_EXPOSURE_120,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
