period,cost,net_sharpe,cycles,holding_closes,actual_fills,gross_price_dividend_profit,commission_and_slippage,net_profit,changed_requests_vs_same_state_center
evaluation,BASE,1.2641101025200463,23,311,72,68957.6,3639.5115999999607,65318.08840000024,28
evaluation,STRESS,1.2086241810847143,23,311,73,68559.4,6662.416520000008,61896.98347999988,28
earlier_diagnostic,BASE,0.9667638750419125,10,302,64,53411.40000000001,2023.5658000000362,51387.834199999925,47
earlier_diagnostic,STRESS,0.9951677505289792,10,308,65,58057.500000000015,3786.0219200000183,54271.47807999997,49
