period,cost,entry_date,old_exit_date,new_exit_date,old_held_closes,new_held_closes,old_exit_signal_origin,positive_parent_target,old_center_desired_shares,new_boundary_weight,new_shares_after_old_exit_date,old_cycle_net_profit,new_cycle_net_profit,cycle_net_difference_not_pure_exit_effect
evaluation,BASE,2021-01-05,2021-01-14,2021-01-21,7,12,2021-01-13,0.00039085053584761773,0,0.10039085053584762,4000,4466.973060000011,4102.487460000008,-364.4856000000036
evaluation,BASE,2021-02-03,2021-02-19,2021-02-26,7,12,2021-02-18,0.00028267946717732664,0,0.10028267946717734,3900,1869.2011800000028,491.3392400000018,-1377.861940000001
evaluation,STRESS,2021-01-05,2021-01-14,2021-01-21,7,12,2021-01-13,0.00039085053584761773,0,0.10039085053584762,4000,4320.584799999993,3956.845599999997,-363.73919999999634
evaluation,STRESS,2021-02-03,2021-02-19,2021-02-26,7,12,2021-02-18,0.00028267946717732664,0,0.10028267946717734,3900,1805.702360000001,406.1023600000016,-1399.5999999999992
