period,cost,same_entry_exit_dates,old_cycles,new_cycles
evaluation,BASE,False,23,23
evaluation,STRESS,False,23,23
earlier_diagnostic,BASE,True,10,10
earlier_diagnostic,STRESS,True,10,10
