period,cost,year,return_difference_vs143
evaluation,BASE,2020,-0.0009429757999998983
evaluation,BASE,2021,-0.00831645469072817
evaluation,BASE,2022,0.0016980875276929371
evaluation,BASE,2023,0.0
evaluation,BASE,2024,0.0007322719513236722
evaluation,BASE,2025,-0.0023484915696261183
evaluation,BASE,2026,0.0044567734305328635
evaluation,STRESS,2020,-0.0008812862000001642
evaluation,STRESS,2021,-0.008413219038130498
evaluation,STRESS,2022,0.001962347587786523
evaluation,STRESS,2023,0.0
evaluation,STRESS,2024,0.0007487055898664774
evaluation,STRESS,2025,-0.0019543736592933444
evaluation,STRESS,2026,0.00468015522898718
earlier_diagnostic,BASE,2015,-0.018545165300000915
earlier_diagnostic,BASE,2016,-0.0024407495428326494
earlier_diagnostic,BASE,2017,-0.007058251890112464
earlier_diagnostic,BASE,2018,3.6320483549878366e-05
earlier_diagnostic,BASE,2019,-0.0040273136909692656
earlier_diagnostic,STRESS,2015,-0.017578033599998405
earlier_diagnostic,STRESS,2016,-0.001955149348581974
earlier_diagnostic,STRESS,2017,-0.006976297142624065
earlier_diagnostic,STRESS,2018,-1.1554397713215217e-05
earlier_diagnostic,STRESS,2019,-0.0037667910441770286
