period,cost,origin,parent_target,own_nav,own_previous_shares,own_stock_weight,request_rule,selected_rebalance_weight,new_request,same_state_center_request,different_request
evaluation,BASE,2019-12-31,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-02,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-03,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-06,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-07,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-08,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-09,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-10,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-13,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-14,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-15,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-16,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-17,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-20,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-21,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-22,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-01-23,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-02-03,0.0,200000.0,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-02-04,0.6100395647219902,200000.0,0,0.0,FIRST_ENTRY_AT_CENTER,0.6100395647219902,32300,32300,False
evaluation,BASE,2020-02-05,0.6100395647219902,200653.84243999998,32300,0.612827038369672,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-06,0.6100395647219902,203560.84243999998,32300,0.6183561557871886,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-07,0.6100051841903437,203270.14244,32300,0.6178103605996568,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-10,0.6100426314174878,203690.04244,32300,0.6185982313647752,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-11,0.603203897617334,205046.64244000003,32300,0.6211216066962291,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-12,0.5953355998395562,205951.04244,32300,0.6227853886069411,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-13,0.6029714933448919,205272.74244,32300,0.6215389266175578,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-14,0.5953753797071124,206144.84243999998,32300,0.6231400139801625,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-17,0.17026278591280053,208954.94244,32300,0.6282081604156958,UPPER_BOUNDARY,0.2702627859128005,-18500,-23600,True
evaluation,BASE,2020-02-18,0.16781229412353565,208409.94264000002,13800,0.2674450138699966,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-19,0.16776224264135703,208423.74264,13800,0.2674935172635186,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-20,0.17424815250836231,209679.54264,13800,0.2718806006644006,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-21,0.039577103328401184,209872.74264,13800,0.2725508766906349,UPPER_BOUNDARY,0.13957710332840118,-6800,-11800,True
evaluation,BASE,2020-02-24,0.04075854904698446,209466.13944,7000,0.13741600469151224,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-25,0.04110656587647136,209410.13944,7000,0.1371853343721741,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-26,0.04232593154030565,209172.13944,7000,0.13620360759455835,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-27,0.04237992773381362,209179.13944,7000,0.13623251379793513,HOLD_INSIDE_INTERVAL,,0,0,False
evaluation,BASE,2020-02-28,0.0,208213.13944,7000,0.13222508470909208,EXPLICIT_FULL_EXIT,0.0,-7000,-7000,False
evaluation,BASE,2020-03-02,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-03,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-04,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-05,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-06,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-09,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-10,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-11,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-12,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-13,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-16,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-17,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-18,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-19,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-20,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-23,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-24,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-25,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-26,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-27,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-30,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-03-31,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-01,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-02,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-03,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-07,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-08,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-09,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-10,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-13,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-14,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-15,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-16,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-17,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-20,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-21,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-22,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-23,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-24,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-27,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-28,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-29,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-04-30,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-05-06,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-05-07,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-05-08,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-05-11,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-05-12,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-05-13,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-05-14,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-05-15,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
evaluation,BASE,2020-05-18,0.0,208298.61504,0,0.0,EXPLICIT_FULL_EXIT,0.0,0,0,False
