date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after
2020-02-03,3.73,3.659,CLOSE,13598.869359999982,49900,0.0,196182.96935999996,-0.01908515320000015,-3817.030640000041,-3542.9000000000087,0.0,0.0,0.930682722336383,-3.197442310920451e-11,2020-01-23,False,0.931633,49900,49900,3.73,3.734,74.53064,199.60000000000016,186326.6,FILLED,200000.0,0,13598.869359999982,49900.0
2020-03-02,3.948,4.076,CLOSE,105457.31127999998,26600,0.0,213878.91127999997,0.01917195684760742,4023.341920000006,4153.299999999997,0.0,0.0,0.5069298293652694,8.853362487570848e-12,2020-02-28,False,0.43634104639695837,-23300,-23300,3.948,3.944,36.75808,93.20000000000009,91895.2,FILLED,13598.869359999982,49900,105457.31127999998,26600.0
2020-04-01,3.664,3.673,CLOSE,202774.36887999997,0,0.0,202774.36887999997,-0.0013707888865182039,-278.3424000000232,-132.99999999999716,0.0,0.0,0.0,-2.594902070995886e-11,2020-03-31,False,0.47977596353694163,-26600,-26600,3.664,3.66,38.9424,106.40000000000009,97356.0,FILLED,105457.31127999998,26600,202774.36887999997,0.0
2020-06-01,3.898,3.968,CLOSE,100501.07591999996,26200,0.0,204462.67591999995,0.008326037700549405,1688.3070399999851,1833.999999999996,0.0,0.0,0.5084624835912694,-1.0672351891116705e-11,2020-05-29,False,0.5041682563958575,26200,26200,3.898,3.902,40.89296,104.8000000000001,102232.40000000001,FILLED,202774.36887999997,0,100501.07591999996,26200.0
2020-07-01,4.187,4.272,CLOSE,210025.64855999997,0,0.0,210025.64855999997,0.0002903947520356276,60.972640000021784,235.80000000000894,0.0,0.0,0.0,1.0061285138363019e-11,2020-06-30,False,0.5212566694744334,-26200,-26200,4.187,4.182,43.827360000000006,130.99999999999721,109568.40000000001,FILLED,100501.07591999996,26200,210025.64855999997,0.0
2021-02-01,5.348,5.411,CLOSE,64.89783999996143,39200,0.0,212176.09783999994,0.010238984118102312,2150.4492799999716,2469.599999999989,0.0,0.0,0.9996941321823681,-8.469669410260394e-12,2021-01-29,False,0.999291283893084,39200,39200,5.348,5.354,83.95072,235.2000000000089,209876.80000000002,FILLED,210025.64855999997,0,64.89783999996143,39200.0
2021-03-01,5.381,5.418,CLOSE,52718.82783999996,29400,0.0,212008.02783999997,0.014578413324017658,3046.3300000000163,3126.200000000017,0.0,0.0,0.7513356999868597,1.4281908988778014e-12,2021-02-26,False,0.24964443400373737,-9800,-9800,5.381,5.375,21.07,58.80000000000223,52675.0,FILLED,64.89783999996143,39200,52718.82783999996,29400.0
2021-04-01,5.056,5.112,CLOSE,100674.63783999995,19900,0.0,202403.43783999997,0.006037164255293437,1214.6100000000151,1290.8000000000077,0.0,0.0,0.5026041113017886,9.606537787476555e-12,2021-03-31,False,0.2382486813369774,-9500,-9500,5.056,5.05,19.19,57.00000000000216,47975.0,FILLED,52718.82783999996,29400,100674.63783999995,19900.0
2021-05-06,5.109,5.061,CLOSE,152194.32171999995,9800,0.0,201792.12171999994,-0.004586166591158181,-929.7161199999973,-848.500000000003,0.0,0.0,0.24578660245626568,7.929656931082718e-12,2021-04-30,False,0.2547165558479238,-10100,-10100,5.109,5.103,20.61612,60.6000000000023,51540.299999999996,FILLED,100674.63783999995,19900,152194.32171999995,9800.0
2021-06-01,5.333,5.346,CLOSE,102521.76063999993,19100,0.0,204630.36063999994,0.0006045714241573741,123.6389199999976,199.29999999999916,0.0,0.0,0.49899047082087983,5.542233338928781e-13,2021-05-31,False,0.2428506958910469,9300,9300,5.333,5.339,19.86108,55.800000000002115,49652.700000000004,FILLED,152194.32171999995,9800,102521.76063999993,19100.0
2021-07-01,5.273,5.254,CLOSE,50766.86695999994,28900,0.0,202607.46695999993,-0.0014976671539804753,-303.8936800000083,-224.40000000001396,0.0,0.0,0.749432398905502,7.87281351222191e-12,2021-06-30,False,0.2545522671374684,9800,9800,5.273,5.279,20.69368,58.80000000000223,51734.2,FILLED,102521.76063999993,19100,50766.86695999994,28900.0
2021-09-01,4.88,4.949,CLOSE,96086.23195999995,19600,0.0,193086.63195999994,0.006865856113301927,1316.6650000000081,1381.3000000000086,0.0,0.0,0.5023672483970548,-1.4352963262354024e-12,2021-08-31,False,0.23638043706199385,-9300,-9300,4.88,4.875,18.135,46.499999999999005,45337.5,FILLED,50766.86695999994,28900,96086.23195999995,19600.0
2021-12-01,4.911,4.924,CLOSE,48381.95787999994,29300,0.0,192655.15787999996,0.0016290055928405156,313.32592000003206,380.9000000000231,0.0,0.0,0.7488675703656175,1.652722403377993e-11,2021-11-30,False,0.2479190278790564,9700,9700,4.911,4.916,19.074080000000002,48.50000000000758,47685.200000000004,FILLED,96086.23195999995,19600,48381.95787999994,29300.0
2022-03-01,4.588,4.609,CLOSE,92726.19243999994,20100,0.0,185367.09243999992,0.004646554035139916,857.3345599999884,920.2000000000083,0.0,0.0,0.49976993640328166,-2.091127271341975e-11,2022-02-28,False,0.22790167122170676,-9200,-9200,4.588,4.583,16.86544,45.99999999999902,42163.6,FILLED,50579.45787999994,29300,92726.19243999994,20100.0
2022-04-01,4.187,4.269,CLOSE,132857.33355999994,10500,0.0,177681.83355999994,0.0009793424938810968,173.84111999999732,237.90000000000452,0.0,0.0,0.25227396128183005,-8.22808488010196e-12,2022-03-31,False,0.22696794195478331,-9600,-9600,4.187,4.182,16.058880000000002,47.99999999999898,40147.200000000004,FILLED,92726.19243999994,20100,132857.33355999994,10500.0
2022-05-05,3.98,4.0,CLOSE,131657.13355999993,10800,0.0,174857.13355999993,-0.0009010664798646539,-157.70000000001164,-151.49999999999662,0.0,0.0,0.24705883666551406,-1.5022649790807918e-11,2022-04-29,False,0.006843505569979917,300,300,3.98,3.984,5.0,1.200000000000001,1195.2,FILLED,132857.33355999994,10500,131657.13355999993,10800.0
2022-07-01,4.52,4.493,CLOSE,90010.48155999993,20000,0.0,179870.48155999993,-0.0026230605038167765,-473.05199999999604,-410.3999999999897,0.0,0.0,0.49958169467637265,8.384404281969182e-13,2022-06-30,False,0.23067145330060848,9200,9200,4.52,4.525,16.652,46.00000000000719,41630.0,FILLED,131657.13355999993,10800,90010.48155999993,20000.0
2022-08-01,4.206,4.238,CLOSE,701.5722799999203,41200,0.0,175307.17227999994,0.005141266235719533,896.6907200000132,1038.4000000000142,0.0,0.0,0.9959980400637608,-3.197442310920451e-12,2022-07-29,False,0.5126799122142165,21200,21200,4.206,4.211,35.70928000000001,105.99999999999774,89273.20000000001,FILLED,90010.48155999993,20000,701.5722799999203,41200.0
2022-11-01,3.585,3.703,CLOSE,37213.161799999914,31000,0.0,152006.1617999999,0.02999459513001934,4426.589520000009,4481.999999999997,0.0,0.0,0.7551864913939302,1.1397105481592007e-11,2022-10-31,False,0.24612749840741246,-10200,-10200,3.585,3.581,14.610479999999999,40.80000000000004,36526.2,FILLED,701.5722799999203,41200,37213.161799999914,31000.0
2022-12-01,3.98,3.956,CLOSE,120278.3224399999,10100,0.0,160233.9224399999,0.011232022054721513,1779.7606399999931,1896.5999999999985,0.0,0.0,0.24935793489647298,-5.314859663485549e-12,2022-11-30,False,0.5174466899374544,-20900,-20900,3.98,3.976,33.23936,83.60000000000008,83098.4,FILLED,37213.161799999914,31000,120278.3224399999,10100.0
2023-01-03,3.937,3.949,CLOSE,159985.7331199999,0,0.0,159985.7331199999,-0.0004147981231856779,-66.38931999998749,-10.100000000003373,0.0,0.0,0.0,1.1432632618380012e-11,2022-12-30,False,0.2482054362621689,-10100,-10100,3.937,3.9330000000000003,15.889320000000001,40.39999999999555,39723.3,FILLED,120278.3224399999,10100,159985.7331199999,0.0
2023-02-01,4.164,4.19,CLOSE,119947.3241599999,9600,0.0,160171.3241599999,0.0011600474391100235,185.59103999999934,249.60000000000662,0.0,0.0,0.2511310948507803,2.2737367544323206e-13,2023-01-31,False,0.2501623064725437,9600,9600,4.164,4.1690000000000005,16.008960000000002,48.0000000000075,40022.4,FILLED,159985.7331199999,0,119947.3241599999,9600.0
2023-03-01,4.067,4.12,CLOSE,182.63743999990402,39000,0.0,160862.6374399999,0.011530690342563599,1833.7132799999963,2028.600000000002,0.0,0.0,0.9988646372898864,-8.782308213994838e-12,2023-02-28,False,0.7529807240557503,29400,29400,4.067,4.072,47.886720000000004,146.99999999999687,119716.8,FILLED,119947.3241599999,9600,182.63743999990402,39000.0
2023-07-03,3.89,3.927,CLOSE,38250.20431999991,29200,0.0,152918.6043199999,0.008826766416849319,1337.9668799999927,1392.399999999998,0.0,0.0,0.7498655935941129,-5.343281372915953e-12,2023-06-30,False,0.2507218298519791,-9800,-9800,3.89,3.886,15.233120000000001,39.20000000000003,38082.8,FILLED,182.63743999990402,39000,38250.20431999991,29200.0
2023-08-01,4.08,4.066,CLOSE,118088.2563199999,9600,0.0,157121.8563199999,-0.0024199411410946725,-381.1479999999865,-251.1999999999894,0.0,0.0,0.24842883679087138,8.100187187665142e-13,2023-07-31,False,0.5074777700185663,-19600,-19600,4.08,4.075,31.948,97.99999999999791,79870.0,FILLED,38250.20431999991,29200,118088.2563199999,9600.0
