模型日期,因子,均值,标准差,买入价值系数,等待价值系数
2024-11-01,截距,,,0.008671135766318616,0.0028812710279148683
2024-11-01,五日含分红涨跌,0.01630684573770957,0.052645403399755396,0.006934266047146482,0.004861913238414412
2024-11-01,二十日含分红涨跌,0.020619118846360404,0.0614314209004608,0.004919492167455056,0.00439673366637182
2024-11-01,一百二十日均线偏离,0.023536845001275997,0.08159108704554717,-0.029549530442353814,0.0008751007576327356
2024-11-01,二十日波动,0.16794411668896536,0.07949376436442089,-0.02127593214652785,-0.01489735299267238
2024-11-01,二十日相对六十日波动,1.0254663129240633,0.24937932066089571,0.052214823785818175,0.023899106583834054
2024-11-01,二十日均值偏离分数,0.24223196113615947,1.4822304977034766,-0.013759459759282212,-0.023418857095401265
2024-11-01,两日相对强弱,57.470154311555675,38.823139094453495,-0.024069374713136738,0.006106634596765916
2024-11-01,当日收盘位置,0.5228706473746679,0.30159456837397147,0.009310589479066038,-0.011301746692094536
2024-11-01,六十日日内相对隔夜强弱,1.4005079338994286,0.4179990375058845,0.007351743561996976,0.014373158237426863
2024-11-01,连续已观测进入信号天数的对数,1.6390907229212224,0.9294603398557378,-0.030794312087346835,-0.017941451097823555
2024-12-02,截距,,,0.008671135766318616,0.0028812710279148683
2024-12-02,五日含分红涨跌,0.01630684573770957,0.052645403399755396,0.006934266047146482,0.004861913238414412
2024-12-02,二十日含分红涨跌,0.020619118846360404,0.0614314209004608,0.004919492167455056,0.00439673366637182
2024-12-02,一百二十日均线偏离,0.023536845001275997,0.08159108704554717,-0.029549530442353814,0.0008751007576327356
2024-12-02,二十日波动,0.16794411668896536,0.07949376436442089,-0.02127593214652785,-0.01489735299267238
2024-12-02,二十日相对六十日波动,1.0254663129240633,0.24937932066089571,0.052214823785818175,0.023899106583834054
2024-12-02,二十日均值偏离分数,0.24223196113615947,1.4822304977034766,-0.013759459759282212,-0.023418857095401265
2024-12-02,两日相对强弱,57.470154311555675,38.823139094453495,-0.024069374713136738,0.006106634596765916
2024-12-02,当日收盘位置,0.5228706473746679,0.30159456837397147,0.009310589479066038,-0.011301746692094536
2024-12-02,六十日日内相对隔夜强弱,1.4005079338994286,0.4179990375058845,0.007351743561996976,0.014373158237426863
2024-12-02,连续已观测进入信号天数的对数,1.6390907229212224,0.9294603398557378,-0.030794312087346835,-0.017941451097823555
2025-01-02,截距,,,0.008671135766318616,0.0028812710279148683
2025-01-02,五日含分红涨跌,0.01630684573770957,0.052645403399755396,0.006934266047146482,0.004861913238414412
2025-01-02,二十日含分红涨跌,0.020619118846360404,0.0614314209004608,0.004919492167455056,0.00439673366637182
2025-01-02,一百二十日均线偏离,0.023536845001275997,0.08159108704554717,-0.029549530442353814,0.0008751007576327356
2025-01-02,二十日波动,0.16794411668896536,0.07949376436442089,-0.02127593214652785,-0.01489735299267238
2025-01-02,二十日相对六十日波动,1.0254663129240633,0.24937932066089571,0.052214823785818175,0.023899106583834054
2025-01-02,二十日均值偏离分数,0.24223196113615947,1.4822304977034766,-0.013759459759282212,-0.023418857095401265
2025-01-02,两日相对强弱,57.470154311555675,38.823139094453495,-0.024069374713136738,0.006106634596765916
2025-01-02,当日收盘位置,0.5228706473746679,0.30159456837397147,0.009310589479066038,-0.011301746692094536
2025-01-02,六十日日内相对隔夜强弱,1.4005079338994286,0.4179990375058845,0.007351743561996976,0.014373158237426863
2025-01-02,连续已观测进入信号天数的对数,1.6390907229212224,0.9294603398557378,-0.030794312087346835,-0.017941451097823555
2025-02-05,截距,,,0.008671135766318616,0.0028812710279148683
2025-02-05,五日含分红涨跌,0.01630684573770957,0.052645403399755396,0.006934266047146482,0.004861913238414412
2025-02-05,二十日含分红涨跌,0.020619118846360404,0.0614314209004608,0.004919492167455056,0.00439673366637182
2025-02-05,一百二十日均线偏离,0.023536845001275997,0.08159108704554717,-0.029549530442353814,0.0008751007576327356
2025-02-05,二十日波动,0.16794411668896536,0.07949376436442089,-0.02127593214652785,-0.01489735299267238
2025-02-05,二十日相对六十日波动,1.0254663129240633,0.24937932066089571,0.052214823785818175,0.023899106583834054
2025-02-05,二十日均值偏离分数,0.24223196113615947,1.4822304977034766,-0.013759459759282212,-0.023418857095401265
2025-02-05,两日相对强弱,57.470154311555675,38.823139094453495,-0.024069374713136738,0.006106634596765916
2025-02-05,当日收盘位置,0.5228706473746679,0.30159456837397147,0.009310589479066038,-0.011301746692094536
2025-02-05,六十日日内相对隔夜强弱,1.4005079338994286,0.4179990375058845,0.007351743561996976,0.014373158237426863
2025-02-05,连续已观测进入信号天数的对数,1.6390907229212224,0.9294603398557378,-0.030794312087346835,-0.017941451097823555
2025-03-03,截距,,,0.008671135766318616,0.0028812710279148683
2025-03-03,五日含分红涨跌,0.01630684573770957,0.052645403399755396,0.006934266047146482,0.004861913238414412
2025-03-03,二十日含分红涨跌,0.020619118846360404,0.0614314209004608,0.004919492167455056,0.00439673366637182
2025-03-03,一百二十日均线偏离,0.023536845001275997,0.08159108704554717,-0.029549530442353814,0.0008751007576327356
2025-03-03,二十日波动,0.16794411668896536,0.07949376436442089,-0.02127593214652785,-0.01489735299267238
2025-03-03,二十日相对六十日波动,1.0254663129240633,0.24937932066089571,0.052214823785818175,0.023899106583834054
2025-03-03,二十日均值偏离分数,0.24223196113615947,1.4822304977034766,-0.013759459759282212,-0.023418857095401265
2025-03-03,两日相对强弱,57.470154311555675,38.823139094453495,-0.024069374713136738,0.006106634596765916
2025-03-03,当日收盘位置,0.5228706473746679,0.30159456837397147,0.009310589479066038,-0.011301746692094536
2025-03-03,六十日日内相对隔夜强弱,1.4005079338994286,0.4179990375058845,0.007351743561996976,0.014373158237426863
2025-03-03,连续已观测进入信号天数的对数,1.6390907229212224,0.9294603398557378,-0.030794312087346835,-0.017941451097823555
2025-04-01,截距,,,0.008671135766318616,0.0028812710279148683
2025-04-01,五日含分红涨跌,0.01630684573770957,0.052645403399755396,0.006934266047146482,0.004861913238414412
2025-04-01,二十日含分红涨跌,0.020619118846360404,0.0614314209004608,0.004919492167455056,0.00439673366637182
2025-04-01,一百二十日均线偏离,0.023536845001275997,0.08159108704554717,-0.029549530442353814,0.0008751007576327356
2025-04-01,二十日波动,0.16794411668896536,0.07949376436442089,-0.02127593214652785,-0.01489735299267238
2025-04-01,二十日相对六十日波动,1.0254663129240633,0.24937932066089571,0.052214823785818175,0.023899106583834054
