fit_origin,status,groups,rows,iterations,maximum_normal_equation_residual
2016-10-10,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,7,4.440892098500626e-16
2016-11-01,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,7,4.440892098500626e-16
2016-12-01,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,7,4.440892098500626e-16
2017-01-03,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,7,4.440892098500626e-16
2017-02-03,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,7,4.440892098500626e-16
2017-03-01,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,7,4.440892098500626e-16
2017-04-05,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,7,4.440892098500626e-16
2017-05-02,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,7,4.440892098500626e-16
2017-06-01,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,7,4.440892098500626e-16
2017-07-03,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,7,4.440892098500626e-16
2017-08-01,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,7,4.440892098500626e-16
2017-09-01,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,10,6.661338147750939e-16
2017-10-09,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,10,6.661338147750939e-16
2017-11-01,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,10,6.661338147750939e-16
2017-12-01,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,10,6.661338147750939e-16
2018-01-02,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,10,6.661338147750939e-16
2018-02-01,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,10,6.661338147750939e-16
2018-03-01,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,7,4.440892098500626e-16
2018-04-02,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,7,4.440892098500626e-16
2018-05-02,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,7,4.440892098500626e-16
2018-06-01,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,7,4.440892098500626e-16
2018-07-02,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,7,4.440892098500626e-16
2018-08-01,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,7,4.440892098500626e-16
2018-09-03,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,7,4.440892098500626e-16
2018-10-08,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,7,4.440892098500626e-16
2018-11-01,NO_VIEW_REPEATED_TRAINING_POLICY,14,608,6,4.440892098500626e-16
2018-12-03,NO_VIEW_REPEATED_TRAINING_POLICY,14,608,6,4.440892098500626e-16
2019-01-02,NO_VIEW_REPEATED_TRAINING_POLICY,14,608,6,4.440892098500626e-16
2019-02-01,NO_VIEW_REPEATED_TRAINING_POLICY,14,608,6,4.440892098500626e-16
2019-03-01,NO_VIEW_REPEATED_TRAINING_POLICY,14,608,6,4.440892098500626e-16
2019-04-01,NO_VIEW_REPEATED_TRAINING_POLICY,14,608,6,4.440892098500626e-16
2019-05-06,NO_VIEW_REPEATED_TRAINING_POLICY,14,608,6,4.440892098500626e-16
2019-06-03,NO_VIEW_REPEATED_TRAINING_POLICY,14,608,6,4.440892098500626e-16
2019-07-01,NO_VIEW_REPEATED_TRAINING_POLICY,14,608,6,4.440892098500626e-16
2019-08-01,NO_VIEW_REPEATED_TRAINING_POLICY,16,667,6,7.008282842946301e-16
2019-09-02,NO_VIEW_REPEATED_TRAINING_POLICY,16,667,6,7.008282842946301e-16
2019-10-08,NO_VIEW_REPEATED_TRAINING_POLICY,16,667,6,7.008282842946301e-16
2019-11-01,NO_VIEW_REPEATED_TRAINING_POLICY,16,667,6,7.008282842946301e-16
2019-12-02,NO_VIEW_REPEATED_TRAINING_POLICY,16,667,6,7.008282842946301e-16
2020-01-02,NO_VIEW_REPEATED_TRAINING_POLICY,16,667,6,7.008282842946301e-16
2020-02-03,NO_VIEW_REPEATED_TRAINING_POLICY,16,667,6,7.008282842946301e-16
2020-03-02,NO_VIEW_REPEATED_TRAINING_POLICY,16,667,6,7.008282842946301e-16
2020-04-01,NO_VIEW_REPEATED_TRAINING_POLICY,16,667,6,7.008282842946301e-16
2020-05-06,NO_VIEW_REPEATED_TRAINING_POLICY,16,667,6,7.008282842946301e-16
