period,cost,waiting_minus_immediate_net_profit,price_pnl,dividend_recognized,commission,slippage_cost
evaluation,BASE,-1027.4286799999827,-1004.2000000000098,-24.600000000002183,-0.17131999999998015,-1.2000000000000455
evaluation,STRESS,-1024.2564799999818,-1002.0000000000127,-24.600000000000364,-0.34352000000001226,-2.0000000000408136
earlier_diagnostic,BASE,0.0,0.0,0.0,0.0,0.0
earlier_diagnostic,STRESS,0.0,0.0,0.0,0.0,0.0
