period,cost,days,cycles,net_sharpe
evaluation,BASE,1604,21,0.629558769739688
evaluation,STRESS,1604,21,0.5788658282293989
earlier_diagnostic,BASE,1219,9,0.7264266214764511
earlier_diagnostic,STRESS,1219,9,0.7028886934133047
