period,cost,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,-32687.241600000125,-25911.299999999974,-7292.099999999999,-106.6583999999998,-409.4999999999818
evaluation,STRESS,-32105.837120000215,-25805.199999999968,-7147.8,-210.56287999999995,-636.5999999999622
earlier_diagnostic,BASE,-4263.658479999984,-4290.0,0.0,-7.541519999999991,-18.800000000033833
earlier_diagnostic,STRESS,-4187.228800000157,-4238.800000000003,0.0,-14.771199999999908,-36.79999999996471
