fit_index,fit_origin,fit_time,status,eligible_for_fit,training_cycle_count,training_rows,latest_exit_index,latest_exit_date,failure,missing_feature_rows
2277,2021-10-08,2021-10-08 15:05:00,FIT_COMPLETE,True,20,844,2232,2021-07-28,,0
2293,2021-11-01,2021-11-01 15:05:00,FIT_COMPLETE,True,20,844,2232,2021-07-28,,0
2315,2021-12-01,2021-12-01 15:05:00,FIT_COMPLETE,True,20,844,2232,2021-07-28,,0
2338,2022-01-04,2022-01-04 15:05:00,FIT_COMPLETE,True,20,844,2232,2021-07-28,,0
2357,2022-02-07,2022-02-07 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,0
2373,2022-03-01,2022-03-01 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,0
2396,2022-04-01,2022-04-01 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,0
2415,2022-05-05,2022-05-05 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,0
2434,2022-06-01,2022-06-01 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,0
2455,2022-07-01,2022-07-01 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,0
2476,2022-08-01,2022-08-01 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,0
2499,2022-09-01,2022-09-01 15:05:00,FIT_COMPLETE,True,20,890,2479,2022-08-04,,0
2520,2022-10-10,2022-10-10 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2536,2022-11-01,2022-11-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2558,2022-12-01,2022-12-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2580,2023-01-03,2023-01-03 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2596,2023-02-01,2023-02-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2616,2023-03-01,2023-03-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2639,2023-04-03,2023-04-03 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2658,2023-05-04,2023-05-04 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2678,2023-06-01,2023-06-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2698,2023-07-03,2023-07-03 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2719,2023-08-01,2023-08-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2742,2023-09-01,2023-09-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2762,2023-10-09,2023-10-09 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2779,2023-11-01,2023-11-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2801,2023-12-01,2023-12-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2822,2024-01-02,2024-01-02 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2844,2024-02-01,2024-02-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2859,2024-03-01,2024-03-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2880,2024-04-01,2024-04-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2900,2024-05-06,2024-05-06 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,0
2920,2024-06-03,2024-06-03 15:05:00,FIT_COMPLETE,True,20,885,2910,2024-05-20,,0
2939,2024-07-01,2024-07-01 15:05:00,FIT_COMPLETE,True,20,885,2910,2024-05-20,,0
2962,2024-08-01,2024-08-01 15:05:00,FIT_COMPLETE,True,20,915,2945,2024-07-09,,0
2984,2024-09-02,2024-09-02 15:05:00,FIT_COMPLETE,True,20,915,2945,2024-07-09,,0
3003,2024-10-08,2024-10-08 15:05:00,FIT_COMPLETE,True,20,896,2989,2024-09-09,,0
3021,2024-11-01,2024-11-01 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,0
3042,2024-12-02,2024-12-02 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,0
3064,2025-01-02,2025-01-02 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,0
3082,2025-02-05,2025-02-05 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,0
3100,2025-03-03,2025-03-03 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,0
3121,2025-04-01,2025-04-01 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,0
3142,2025-05-06,2025-05-06 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,0
3161,2025-06-03,2025-06-03 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,0
3181,2025-07-01,2025-07-01 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,0
3204,2025-08-01,2025-08-01 15:05:00,FIT_COMPLETE,True,20,842,3187,2025-07-09,,0
3225,2025-09-01,2025-09-01 15:05:00,FIT_COMPLETE,True,20,842,3187,2025-07-09,,0
3247,2025-10-09,2025-10-09 15:05:00,FIT_COMPLETE,True,20,842,3187,2025-07-09,,0
3264,2025-11-03,2025-11-03 15:05:00,FIT_COMPLETE,True,20,842,3250,2025-10-14,,0
3284,2025-12-01,2025-12-01 15:05:00,FIT_COMPLETE,True,20,842,3250,2025-10-14,,0
3307,2026-01-05,2026-01-05 15:05:00,FIT_COMPLETE,True,20,842,3250,2025-10-14,,0
3327,2026-02-02,2026-02-02 15:05:00,FIT_COMPLETE,True,20,842,3313,2026-01-13,,0
3341,2026-03-02,2026-03-02 15:05:00,FIT_COMPLETE,True,20,795,3329,2026-02-04,,0
3363,2026-04-01,2026-04-01 15:05:00,FIT_COMPLETE,True,20,795,3329,2026-02-04,,0
3384,2026-05-06,2026-05-06 15:05:00,FIT_COMPLETE,True,20,795,3329,2026-02-04,,0
3402,2026-06-01,2026-06-01 15:05:00,FIT_COMPLETE,True,20,795,3329,2026-02-04,,0
3423,2026-07-01,2026-07-01 15:05:00,FIT_COMPLETE,True,20,795,3329,2026-02-04,,0
3446,2026-08-03,2026-08-03 15:05:00,FIT_COMPLETE,True,20,790,3436,2026-07-20,,0
