period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,325,296,29,14,21,0,335
evaluation,STRESS,325,296,29,14,21,0,335
earlier_diagnostic,BASE,266,39,227,2,9,0,422
earlier_diagnostic,STRESS,266,39,227,2,9,0,422
