fit_origin,cycles,rows,huber_delta,objective,maximum_gradient
2017-03-01,10,438,0.01185683887859124,0.0024982449032477545,3.9843404666707605e-08
2017-04-05,10,438,0.01185683887859124,0.0024982449032477545,3.9843404666707605e-08
2017-05-02,10,438,0.01185683887859124,0.0024982449032477545,3.9843404666707605e-08
2017-06-01,11,497,0.01058610336895327,0.0023202766221404984,2.134727907117384e-08
2017-07-03,11,497,0.01058610336895327,0.0023202766221404984,2.134727907117384e-08
2017-08-01,11,497,0.01058610336895327,0.0023202766221404984,2.134727907117384e-08
2017-09-01,12,556,0.010446325534323155,0.00229751231517424,1.4650866207721602e-08
2017-10-09,12,556,0.010446325534323155,0.00229751231517424,1.4650866207721602e-08
2017-11-01,12,556,0.010446325534323155,0.00229751231517424,1.4650866207721602e-08
2017-12-01,13,615,0.009383027680976914,0.00215188798541108,9.46592849521144e-08
2018-01-02,13,615,0.009383027680976914,0.00215188798541108,9.46592849521144e-08
2018-02-01,13,615,0.009383027680976914,0.00215188798541108,9.46592849521144e-08
2018-03-01,14,671,0.008592401395489153,0.0020508760601621965,7.647888846827253e-08
2018-04-02,14,671,0.008592401395489153,0.0020508760601621965,7.647888846827253e-08
2018-05-02,14,671,0.008592401395489153,0.0020508760601621965,7.647888846827253e-08
2018-06-01,14,671,0.008592401395489153,0.0020508760601621965,7.647888846827253e-08
2018-07-02,14,671,0.008592401395489153,0.0020508760601621965,7.647888846827253e-08
2018-08-01,14,671,0.008592401395489153,0.0020508760601621965,7.647888846827253e-08
2018-09-03,14,671,0.008592401395489153,0.0020508760601621965,7.647888846827253e-08
2018-10-08,14,671,0.008592401395489153,0.0020508760601621965,7.647888846827253e-08
2018-11-01,15,678,0.008512469467124403,0.002094917060108687,4.044155895322615e-08
2018-12-03,15,678,0.008512469467124403,0.002094917060108687,4.044155895322615e-08
2019-01-02,15,678,0.008512469467124403,0.002094917060108687,4.044155895322615e-08
2019-02-01,15,678,0.008512469467124403,0.002094917060108687,4.044155895322615e-08
2019-03-01,15,678,0.008512469467124403,0.002094917060108687,4.044155895322615e-08
2019-04-01,15,678,0.008512469467124403,0.002094917060108687,4.044155895322615e-08
2019-05-06,15,678,0.008512469467124403,0.002094917060108687,4.044155895322615e-08
2020-04-01,18,787,0.008098847026144915,0.002076559945389759,3.229292056504407e-08
2020-05-06,18,787,0.008098847026144915,0.002076559945389759,3.229292056504407e-08
2020-06-01,19,829,0.007629621907330269,0.0020242844996663646,6.193313628957697e-08
