fit_origin,status,failure
2019-06-03,NO_VIEW_MODEL_FIT_FAILED,联合胡伯回归未满足冻结收敛条件：CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2019-07-01,NO_VIEW_MODEL_FIT_FAILED,联合胡伯回归未满足冻结收敛条件：CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2019-08-01,NO_VIEW_MODEL_FIT_FAILED,联合胡伯回归未满足冻结收敛条件：CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2019-09-02,NO_VIEW_MODEL_FIT_FAILED,联合胡伯回归未满足冻结收敛条件：CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2019-10-08,NO_VIEW_MODEL_FIT_FAILED,联合胡伯回归未满足冻结收敛条件：CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2019-11-01,NO_VIEW_MODEL_FIT_FAILED,联合胡伯回归未满足冻结收敛条件：CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2019-12-02,NO_VIEW_MODEL_FIT_FAILED,联合胡伯回归未满足冻结收敛条件：CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2020-01-02,NO_VIEW_MODEL_FIT_FAILED,联合胡伯回归未满足冻结收敛条件：CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2020-02-03,NO_VIEW_MODEL_FIT_FAILED,联合胡伯回归未满足冻结收敛条件：CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2020-03-02,NO_VIEW_MODEL_FIT_FAILED,联合胡伯回归未满足冻结收敛条件：CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
