period,cost,buy_trades,sell_trades,holding_closes,mean_exposure,unfilled_requests,zero_target_origins,full_target_origins,no_view_origins
evaluation,BASE,25,25,262,0.16300868729891657,0,1341,263,0
evaluation,STRESS,25,25,262,0.16307977108180113,0,1341,263,0
earlier_diagnostic,BASE,16,16,339,0.2772419697571077,0,880,339,0
earlier_diagnostic,STRESS,16,16,339,0.2772639213800596,0,880,339,0
