period,cost,date,old_filled_quantity,new_filled_quantity
evaluation,BASE,2020-02-18,-26400,0
evaluation,BASE,2025-04-10,32200,0
evaluation,STRESS,2020-02-18,-26400,0
evaluation,STRESS,2025-04-10,31800,0
