period,cost,replayed_decision_origins,held_closes,actual_sells
evaluation,BASE,1604,234,27
evaluation,STRESS,1604,234,27
earlier_diagnostic,BASE,1219,296,23
earlier_diagnostic,STRESS,1219,296,23
