period,cost,model,net_sharpe,days
evaluation,BASE,VOLATILITY_EXPERT_ROUTER,0.737792758222383,1604
evaluation,BASE,PANIC_LEARNED_HALF,0.944390709635229,1604
evaluation,BASE,REARM_RIDGE,0.7048682574353758,1604
evaluation,BASE,PANIC_ONLY,1.1180113935237783,1604
evaluation,BASE,BUY_HOLD,0.28789939065519343,1604
evaluation,STRESS,VOLATILITY_EXPERT_ROUTER,0.6566245704612832,1604
evaluation,STRESS,PANIC_LEARNED_HALF,0.8790034689617331,1604
evaluation,STRESS,REARM_RIDGE,0.6411361272639541,1604
evaluation,STRESS,PANIC_ONLY,1.0930623071700383,1604
evaluation,STRESS,BUY_HOLD,0.28690843031022767,1604
earlier_diagnostic,BASE,VOLATILITY_EXPERT_ROUTER,0.5632296856095019,1219
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,0.6044206723945715,1219
earlier_diagnostic,BASE,REARM_RIDGE,0.747697665787205,1219
earlier_diagnostic,BASE,PANIC_ONLY,-0.10683567142232424,1219
earlier_diagnostic,BASE,BUY_HOLD,0.27872198615255206,1219
earlier_diagnostic,STRESS,VOLATILITY_EXPERT_ROUTER,0.512354436739193,1219
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,0.5721130310404378,1219
earlier_diagnostic,STRESS,REARM_RIDGE,0.724697402620827,1219
earlier_diagnostic,STRESS,PANIC_ONLY,-0.1387479032812565,1219
earlier_diagnostic,STRESS,BUY_HOLD,0.2777077741807245,1219
