period,cost,origin,execution_date,previous_expert,selected_expert,previous_expert_current_state,selected_target,filled_quantity,reason
evaluation,BASE,2020-02-28,2020-03-02,LEARNED,LEARNED,0.0,0.0,-52800,所选专家状态退出
evaluation,BASE,2020-07-06,2020-07-07,LEARNED,PANIC,1.0,0.0,-49700,市场状态切换且原专家仍持有
evaluation,BASE,2020-07-14,2020-07-15,LEARNED,LEARNED,0.0,0.0,-49000,所选专家状态退出
evaluation,BASE,2020-09-10,2020-09-11,LEARNED,LEARNED,0.0,0.0,-48900,所选专家状态退出
evaluation,BASE,2021-01-12,2021-01-13,LEARNED,PANIC,1.0,0.0,-42400,市场状态切换且原专家仍持有
evaluation,BASE,2021-01-20,2021-01-21,LEARNED,LEARNED,0.0,0.0,-44300,所选专家状态退出
evaluation,BASE,2021-02-22,2021-02-23,LEARNED,PANIC,1.0,0.0,-44200,市场状态切换且原专家仍持有
evaluation,BASE,2021-02-25,2021-02-26,LEARNED,PANIC,0.0,0.0,-44700,所选专家状态退出
evaluation,BASE,2021-07-20,2021-07-21,LEARNED,LEARNED,0.0,0.0,-45400,所选专家状态退出
evaluation,BASE,2021-08-03,2021-08-04,PANIC,LEARNED,1.0,0.0,-48000,市场状态切换且原专家仍持有
evaluation,BASE,2021-11-19,2021-11-22,LEARNED,LEARNED,0.0,0.0,-48300,所选专家状态退出
evaluation,BASE,2021-12-08,2021-12-09,LEARNED,LEARNED,0.0,0.0,-48000,所选专家状态退出
evaluation,BASE,2022-05-20,2022-05-23,LEARNED,LEARNED,0.0,0.0,-61000,所选专家状态退出
evaluation,BASE,2022-06-09,2022-06-10,LEARNED,LEARNED,0.0,0.0,-59300,所选专家状态退出
evaluation,BASE,2022-08-25,2022-08-26,LEARNED,LEARNED,0.0,0.0,-58600,所选专家状态退出
evaluation,BASE,2024-02-22,2024-02-23,LEARNED,LEARNED,0.0,0.0,-72500,所选专家状态退出
evaluation,BASE,2024-07-17,2024-07-18,LEARNED,LEARNED,0.0,0.0,-70900,所选专家状态退出
evaluation,BASE,2024-09-02,2024-09-03,LEARNED,PANIC,1.0,0.0,-74300,市场状态切换且原专家仍持有
evaluation,BASE,2024-09-11,2024-09-12,LEARNED,LEARNED,0.0,0.0,-74900,所选专家状态退出
evaluation,BASE,2025-04-22,2025-04-23,LEARNED,LEARNED,0.0,0.0,-65600,所选专家状态退出
evaluation,BASE,2025-06-17,2025-06-18,LEARNED,LEARNED,0.0,0.0,-64900,所选专家状态退出
evaluation,BASE,2026-01-15,2026-01-16,LEARNED,LEARNED,0.0,0.0,-55400,所选专家状态退出
evaluation,BASE,2026-05-07,2026-05-08,LEARNED,LEARNED,0.0,0.0,-55800,所选专家状态退出
evaluation,BASE,2026-05-15,2026-05-18,LEARNED,LEARNED,0.0,0.0,-54900,所选专家状态退出
evaluation,BASE,2026-06-22,2026-06-23,LEARNED,LEARNED,0.0,0.0,-54300,所选专家状态退出
evaluation,BASE,2026-07-30,2026-07-31,LEARNED,LEARNED,0.0,0.0,-58700,所选专家状态退出
evaluation,BASE,2026-08-13,2026-08-14,LEARNED,LEARNED,1.0,1.0,-58300,终点退出
evaluation,STRESS,2020-02-28,2020-03-02,LEARNED,LEARNED,0.0,0.0,-52700,所选专家状态退出
evaluation,STRESS,2020-07-06,2020-07-07,LEARNED,PANIC,1.0,0.0,-49600,市场状态切换且原专家仍持有
evaluation,STRESS,2020-07-14,2020-07-15,LEARNED,LEARNED,0.0,0.0,-48800,所选专家状态退出
evaluation,STRESS,2020-09-10,2020-09-11,LEARNED,LEARNED,0.0,0.0,-48600,所选专家状态退出
evaluation,STRESS,2021-01-12,2021-01-13,LEARNED,PANIC,1.0,0.0,-42200,市场状态切换且原专家仍持有
evaluation,STRESS,2021-01-20,2021-01-21,LEARNED,LEARNED,0.0,0.0,-44000,所选专家状态退出
evaluation,STRESS,2021-02-22,2021-02-23,LEARNED,PANIC,1.0,0.0,-43800,市场状态切换且原专家仍持有
evaluation,STRESS,2021-02-25,2021-02-26,LEARNED,PANIC,0.0,0.0,-44200,所选专家状态退出
evaluation,STRESS,2021-07-20,2021-07-21,LEARNED,LEARNED,0.0,0.0,-44900,所选专家状态退出
evaluation,STRESS,2021-08-03,2021-08-04,PANIC,LEARNED,1.0,0.0,-47400,市场状态切换且原专家仍持有
evaluation,STRESS,2021-11-19,2021-11-22,LEARNED,LEARNED,0.0,0.0,-47600,所选专家状态退出
evaluation,STRESS,2021-12-08,2021-12-09,LEARNED,LEARNED,0.0,0.0,-47200,所选专家状态退出
evaluation,STRESS,2022-05-20,2022-05-23,LEARNED,LEARNED,0.0,0.0,-60000,所选专家状态退出
evaluation,STRESS,2022-06-09,2022-06-10,LEARNED,LEARNED,0.0,0.0,-58300,所选专家状态退出
evaluation,STRESS,2022-08-25,2022-08-26,LEARNED,LEARNED,0.0,0.0,-57400,所选专家状态退出
evaluation,STRESS,2024-02-22,2024-02-23,LEARNED,LEARNED,0.0,0.0,-71000,所选专家状态退出
evaluation,STRESS,2024-07-17,2024-07-18,LEARNED,LEARNED,0.0,0.0,-69300,所选专家状态退出
evaluation,STRESS,2024-09-02,2024-09-03,LEARNED,PANIC,1.0,0.0,-72500,市场状态切换且原专家仍持有
evaluation,STRESS,2024-09-11,2024-09-12,LEARNED,LEARNED,0.0,0.0,-73100,所选专家状态退出
evaluation,STRESS,2025-04-22,2025-04-23,LEARNED,LEARNED,0.0,0.0,-63800,所选专家状态退出
evaluation,STRESS,2025-06-17,2025-06-18,LEARNED,LEARNED,0.0,0.0,-63100,所选专家状态退出
evaluation,STRESS,2026-01-15,2026-01-16,LEARNED,LEARNED,0.0,0.0,-53800,所选专家状态退出
evaluation,STRESS,2026-05-07,2026-05-08,LEARNED,LEARNED,0.0,0.0,-54000,所选专家状态退出
evaluation,STRESS,2026-05-15,2026-05-18,LEARNED,LEARNED,0.0,0.0,-53200,所选专家状态退出
evaluation,STRESS,2026-06-22,2026-06-23,LEARNED,LEARNED,0.0,0.0,-52500,所选专家状态退出
evaluation,STRESS,2026-07-30,2026-07-31,LEARNED,LEARNED,0.0,0.0,-56700,所选专家状态退出
evaluation,STRESS,2026-08-13,2026-08-14,LEARNED,LEARNED,1.0,1.0,-56200,终点退出
earlier_diagnostic,BASE,2015-01-19,2015-01-20,LEARNED,PANIC,0.0,0.0,-55400,所选专家状态退出
earlier_diagnostic,BASE,2015-05-11,2015-05-12,LEARNED,PANIC,1.0,0.0,-54400,市场状态切换且原专家仍持有
earlier_diagnostic,BASE,2015-05-14,2015-05-15,LEARNED,LEARNED,0.0,0.0,-53600,所选专家状态退出
earlier_diagnostic,BASE,2015-06-19,2015-06-23,LEARNED,LEARNED,0.0,0.0,-48000,所选专家状态退出
earlier_diagnostic,BASE,2015-06-26,2015-06-29,PANIC,PANIC,0.0,0.0,-46200,所选专家状态退出
earlier_diagnostic,BASE,2015-07-10,2015-07-13,PANIC,PANIC,0.0,0.0,-52200,所选专家状态退出
