period,cost,buy_trades,sell_trades,holding_closes,mean_exposure,unfilled_requests,zero_target_origins,full_target_origins,no_view_origins
evaluation,BASE,27,27,234,0.14565376078012218,0,1369,235,0
evaluation,STRESS,27,27,234,0.14564909126498876,0,1369,235,0
earlier_diagnostic,BASE,23,23,296,0.24224275167313553,0,923,296,0
earlier_diagnostic,STRESS,23,23,296,0.24227926307802347,0,923,296,0
