period,regime,selected_expert,routed_target,decision_origins
evaluation,HIGH_SHORT_VOL,PANIC,0.0,154
evaluation,HIGH_SHORT_VOL,PANIC,1.0,12
evaluation,NORMAL_VOL,LEARNED,0.0,1215
evaluation,NORMAL_VOL,LEARNED,1.0,223
earlier_diagnostic,HIGH_SHORT_VOL,PANIC,0.0,88
earlier_diagnostic,HIGH_SHORT_VOL,PANIC,1.0,19
earlier_diagnostic,NORMAL_VOL,LEARNED,0.0,835
earlier_diagnostic,NORMAL_VOL,LEARNED,1.0,277
