period,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,mean_risk_multiplier,minimum_risk_multiplier,maximum_risk_multiplier,reduced_multiplier_origins,new_model_fits,new_reference_accounts
evaluation,BASE,1604,312,1292,0,0.6644983780039456,0.17178579173260408,1.0,1519,0,0
evaluation,STRESS,1604,312,1292,0,0.6644983780039456,0.17178579173260408,1.0,1519,0,0
earlier_diagnostic,BASE,1219,302,917,0,0.6220694257355511,0.11090955723386145,1.0,1051,0,0
earlier_diagnostic,STRESS,1219,308,911,0,0.6220694257355511,0.11090955723386145,1.0,1051,0,0
