period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,306,31,34,0,0,0.04094549134826184
evaluation,STRESS,306,31,34,0,0,0.040952406683271124
earlier_diagnostic,BASE,302,22,17,0,0,0.06536876198754735
earlier_diagnostic,STRESS,308,22,17,0,0,0.06759439297054871
