period,cost,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,annual_arithmetic_mean_ratio,annual_volatility_ratio,sharpe_difference
evaluation,BASE,-57280.27654000008,-56835.50000000001,-3626.800000000001,-794.6234599999998,-2387.3999999999714,0.5405710070671546,0.6408023362505395,-0.1382520332800099
evaluation,STRESS,-53712.52767999991,-55982.5,-3475.6000000000004,-1551.27232,-4194.300000000014,0.5296724449227065,0.6409798764233261,-0.14438837432584506
earlier_diagnostic,BASE,-42829.86291999993,-43256.10000000002,-1295.0,-440.93708,-1280.2999999999959,0.6067785411823475,0.4446302703531531,0.2793601261496542
earlier_diagnostic,STRESS,-44322.59108000004,-46368.90000000001,-1295.0,-875.30892,-2466.0000000000136,0.6068299072924864,0.44612502728125997,0.2808839287389897
