period,cost,entry_date,exit_date,parent_net_profit,new_net_profit,profit_difference,new_buy_trades,new_sell_trades
evaluation,BASE,2020-02-05,2020-02-24,17551.712640000023,4919.79824,-12631.914400000023,1,1
evaluation,BASE,2020-07-01,2020-07-07,32499.69696000001,21603.84480000002,-10895.852159999988,1,1
evaluation,BASE,2020-08-19,2020-09-30,-10357.880400000024,-4776.5796000000055,5581.300800000018,2,1
evaluation,BASE,2021-01-05,2021-01-14,14224.61633999999,9021.267659999987,-5203.348680000003,1,2
evaluation,BASE,2021-02-03,2021-02-19,11215.207080000031,4466.662560000004,-6748.544520000027,1,1
evaluation,BASE,2021-06-08,2021-07-28,-24700.92000000001,-13764.713159999983,10936.206840000026,2,4
evaluation,BASE,2021-10-29,2021-12-13,10329.403899999988,9552.881779999996,-776.5221199999924,3,2
evaluation,BASE,2022-05-13,2022-06-08,11954.95968000004,5067.3144400000265,-6887.6452400000135,3,1
evaluation,BASE,2022-08-10,2022-09-08,-5399.229499999997,-2401.904840000011,2997.3246599999857,2,2
evaluation,BASE,2024-02-19,2024-02-26,7363.206000000027,3198.4530000000113,-4164.753000000016,1,1
evaluation,BASE,2024-06-18,2024-07-18,-999.6410000000003,-893.6387999999886,106.00220000001173,1,1
evaluation,BASE,2024-08-02,2024-09-12,-15599.591280000006,-12080.313800000002,3519.2774800000043,3,2
evaluation,BASE,2024-09-25,2024-09-30,36316.57100000004,14576.397040000002,-21740.173960000036,1,2
evaluation,BASE,2025-04-10,2025-05-08,7101.703200000023,2271.7814000000026,-4829.92180000002,1,1
evaluation,BASE,2025-06-03,2025-06-26,9658.7673,7989.837439999982,-1668.9298600000175,1,1
evaluation,BASE,2025-12-19,2026-01-07,14899.535999999986,10740.733319999996,-4158.80267999999,2,1
evaluation,BASE,2026-01-16,2026-02-04,-8867.703019999979,-6789.5220000000045,2078.1810199999745,2,2
evaluation,BASE,2026-05-06,2026-05-13,4160.444399999986,1622.1812600000362,-2538.2631399999495,2,1
evaluation,BASE,2026-06-05,2026-06-22,4165.962960000064,1788.1909200000105,-2377.772040000054,1,2
evaluation,BASE,2026-07-23,2026-08-14,-2963.545200000015,-839.6711399999984,2123.8740600000165,1,1
evaluation,STRESS,2020-02-05,2020-02-24,17224.34152,4837.196479999999,-12387.145040000003,1,1
evaluation,STRESS,2020-07-01,2020-07-07,32074.51455999997,21403.68960000001,-10670.824959999962,1,1
evaluation,STRESS,2020-08-19,2020-09-30,-10619.397600000013,-4912.580080000003,5706.81752000001,2,1
evaluation,STRESS,2021-01-05,2021-01-14,13764.148720000008,8761.773999999996,-5002.3747200000125,1,2
evaluation,STRESS,2021-02-03,2021-02-19,10763.862119999972,4291.474440000009,-6472.387679999963,1,1
evaluation,STRESS,2021-06-08,2021-07-28,-24851.445119999982,-14022.52844,10828.916679999982,2,4
evaluation,STRESS,2021-10-29,2021-12-13,9885.849599999994,9158.394399999996,-727.4551999999985,3,2
evaluation,STRESS,2022-05-13,2022-06-08,11471.807519999988,4840.450599999987,-6631.35692,3,1
evaluation,STRESS,2022-08-10,2022-09-08,-5678.294999999987,-2655.710679999978,3022.5843200000095,2,2
evaluation,STRESS,2024-02-19,2024-02-26,6853.626000000011,3002.453999999988,-3851.172000000023,1,1
evaluation,STRESS,2024-06-18,2024-07-18,-1380.6787999999947,-1243.1760000000004,137.5027999999943,1,1
