period,cost,net_sharpe,complete_cycles,same_holding_calendar_as_128,same_entry_exit_cycles,cycles_with_multiple_buys_or_sells,gross_price_dividend_profit_on_saved_path,total_commission_and_slippage
evaluation,BASE,0.7456255590756491,20,True,20,12,60727.50000000003,5454.499479999991
evaluation,STRESS,0.6870928761585842,20,True,20,12,60280.80000000003,10026.043360000056
earlier_diagnostic,BASE,1.0453995527844013,9,True,9,6,64141.59999999999,1904.2855000000072
earlier_diagnostic,STRESS,1.0606321875522593,9,True,9,6,67688.1,3754.0424799999896
