period,date,panic_budget,learned_budget,panic_sd,learned_sd,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,panic_state,learned_state,target,panic_reference_return,learned_reference_return
evaluation,2020-01-02,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-01-02,,2020-01-02,1,0.0,0.0,0.0,0.0,0.0
evaluation,2020-02-03,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-02-03,,2020-01-02,17,0.0,0.0,0.0,0.0,0.0
evaluation,2020-03-02,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-03-02,,2020-01-02,37,0.0,0.0,0.0,0.0,0.0031038186612286633
evaluation,2020-04-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-04-01,,2020-01-02,59,0.0,0.0,0.0,0.0,0.0
evaluation,2020-05-06,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-05-06,,2020-01-02,80,0.0,0.0,0.0,0.0,0.0
evaluation,2020-06-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-06-01,,2020-01-02,98,0.0,0.0,0.0,0.0,0.0
evaluation,2020-07-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-07-01,,2020-01-02,118,0.0,1.0,0.5,0.0,0.019358938707959794
evaluation,2020-08-03,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-08-03,,2020-01-02,141,0.0,0.0,0.0,0.0,0.0
evaluation,2020-09-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-09-01,,2020-01-02,162,0.0,1.0,0.5,0.0,0.006966748494694919
evaluation,2020-10-09,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-10-09,,2020-01-02,184,0.0,0.0,0.0,0.0,0.0
evaluation,2020-11-02,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-11-02,,2020-01-02,200,0.0,0.0,0.0,0.0,0.0
evaluation,2020-12-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-12-01,,2020-01-02,221,0.0,0.0,0.0,0.0,0.0
evaluation,2021-01-04,0.763544559154829,0.23645544084517092,0.0023318113770822674,0.007529714197239865,RISK_BUDGET_AVAILABLE,True,2021-01-04,2021-01-04,2020-01-06,242,0.0,1.0,0.23645544084517092,0.0,0.0
evaluation,2021-02-01,0.8234051721382522,0.17659482786174782,0.001728556334907195,0.008059705053248769,RISK_BUDGET_AVAILABLE,True,2021-02-01,2021-02-01,2020-02-11,242,0.0,0.0,0.0,0.0,0.0
evaluation,2021-03-01,0.8234051721382522,0.17659482786174782,0.0,0.008338043218682542,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2021-03-01,2021-02-01,2020-03-03,242,0.0,0.0,0.0,0.0,0.0
evaluation,2021-04-01,0.8234051721382522,0.17659482786174782,0.0,0.008338043218682544,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2021-04-01,2021-02-01,2020-04-03,242,0.0,0.0,0.0,0.0,0.0
evaluation,2021-05-06,0.8234051721382522,0.17659482786174782,0.0,0.008338043218682546,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2021-05-06,2021-02-01,2020-05-08,242,0.0,0.0,0.0,0.0,0.0
evaluation,2021-06-01,0.8234051721382522,0.17659482786174782,0.0,0.008338043218682548,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2021-06-01,2021-02-01,2020-06-03,242,0.0,0.0,0.0,0.0,0.0
evaluation,2021-07-01,0.8234051721382522,0.17659482786174782,0.0,0.00827200860521941,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2021-07-01,2021-02-01,2020-07-06,242,0.0,1.0,0.17659482786174782,0.0,-0.00038009622734525017
evaluation,2021-08-02,0.8050862675466003,0.19491373245339966,0.0016573136264868326,0.0068454922334495166,RISK_BUDGET_AVAILABLE,True,2021-08-02,2021-08-02,2020-08-05,242,1.0,0.0,0.8050862675466003,0.024801042554067898,0.0
evaluation,2021-09-01,0.755513632456783,0.24448636754321698,0.0020704026709432565,0.006397974080481457,RISK_BUDGET_AVAILABLE,True,2021-09-01,2021-09-01,2020-09-04,242,0.0,0.0,0.0,0.0,0.0
evaluation,2021-10-08,0.7442962237249222,0.25570377627507784,0.0020704026709432582,0.006026476855450541,RISK_BUDGET_AVAILABLE,True,2021-10-08,2021-10-08,2020-10-12,242,0.0,0.0,0.0,0.0,0.0
evaluation,2021-11-01,0.7448303001907092,0.2551696998092909,0.0020704026709432596,0.006043423823701834,RISK_BUDGET_AVAILABLE,True,2021-11-01,2021-11-01,2020-11-03,242,0.0,1.0,0.2551696998092909,0.0,-0.0032073896151796344
evaluation,2021-12-01,0.7534393599836103,0.2465606400163897,0.0020704026709432613,0.0063267310759744745,RISK_BUDGET_AVAILABLE,True,2021-12-01,2021-12-01,2020-12-03,242,0.0,1.0,0.2465606400163897,0.0,0.002642803631357271
