period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure
evaluation,BASE,262,26,27,0,0,0.06836313637374843
evaluation,STRESS,262,26,27,0,0,0.06835028187130547
earlier_diagnostic,BASE,339,16,18,0,0,0.13476732372706168
earlier_diagnostic,STRESS,339,16,18,0,0,0.13478694079269143
