period,cost,net_profit_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,664.9610199999297,2173.7999999999956,-2420.0,-230.86101999999983,-680.2999999999697
evaluation,STRESS,1585.527679999912,2268.099999999984,-2395.2,-454.72767999999996,-1257.9000000000087
earlier_diagnostic,BASE,-3941.8832399999956,-3873.199999999997,0.0,13.483240000000137,55.19999999999982
earlier_diagnostic,STRESS,-4005.351960000058,-3889.899999999994,0.0,26.4519600000001,88.99999999999909
